split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.8157848333243548,0.8427947179207085,0.7585558635224494,0.789031018098152,0,0
val,30,28,2,0.6628984101689163,0.6631219224813721,-4.085851795137117,-457.61496145597147,6,7
test,30,28,2,0.6400164337273261,0.5777190450159493,-3.6935703861640006,-338.17668271389175,7,8
