epoch,train_total_loss,train_daily_loss,train_agg_loss,train_sym_loss,val_hourly_kge,val_hourly_nse
1,1.7092140620014418,0.402605939323624,0.7636537334499572,9.247812397136968,0.19677415719161107,0.10502523414245646
2,1.278775980945666,0.1816971582149337,0.3732098001047038,9.104739140396493,0.39991062635657587,0.2578935750863173
3,1.2127269031425183,0.15390114745473404,0.3004858956200371,9.085827947494801,0.4318273082814503,0.22659294524288165
4,1.1720224312768917,0.13767972959421698,0.2535246214490252,9.075803802305762,0.48689658181050843,0.3266349321942031
5,1.145205963687426,0.12825408379656802,0.22046087324232286,9.067214313148456,0.5224319028360025,0.2977844640459147
6,1.1252021240005428,0.11873008171405526,0.20102059882016,9.059617304666773,0.5278331369422083,0.2567488583292112
7,1.1098191206320909,0.11227623381951139,0.18496188135314515,9.050619331059234,0.5011697559814978,0.2560290633534063
8,1.099768455243423,0.10871718531160524,0.172961949940142,9.045702845627577,0.5110830187186525,0.2560510378724917
9,1.0935851470201536,0.10603338326394228,0.16694625312571915,9.040786245717898,0.4964745149681171,0.2846715812085947
10,1.0829069820641992,0.10213556660132514,0.1539693679666272,9.03786720788365,0.5018438394133826,0.26032525687278474
