split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.7412380091080948,0.6758063110907717
val,30,28,2,0.5278331369422083,0.2567488583292112
test,30,28,2,0.49804235083544723,0.23996908939094935
