split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse
train,22,22,0,0.39334260764371876,0.3994256298515283,0.21815389392946755,0.259642034919326
val,28,28,0,0.11416705135675742,0.20767886208784403,-1.8616199183788382,-59.38314604526344
test,28,28,0,0.24033974998679386,0.23785959352603359,-1.5561069160435248,-24.58797608506203
