epoch,train_loss,val_median_kge,val_median_nse
1,17.10582371713188,-0.17577225926943074,-0.14265892901807098
2,3.2087242754423198,-0.025435623180659173,0.011871558351270683
3,2.684959555319788,0.010915503881850752,0.035048784953069956
4,2.4443459771481217,0.050622423768094116,0.028557709251044616
5,2.277116645323443,0.0717524433553533,0.10713532496147932
6,2.172128436594134,0.1774116272989873,0.10100805576554317
7,2.005313549202016,0.1899724921989141,0.21772536130483505
8,1.916326631003862,0.2546615304263142,0.13398301778804184
9,1.833877134416205,0.17470483500009626,0.20317654097016802
10,1.7049899147435494,0.22543471555710587,0.293812421418574
11,1.580810957476231,0.3643435966609127,0.20767886208784408
12,1.5480984348389557,0.2770429090373729,0.2464290149574404
13,1.442300169853621,0.3470939624953838,0.2974685927578445
14,1.41436394784714,0.32190835042494487,0.30033438658763056
15,1.287815464441915,0.3468824533366802,0.28927741641326005
16,1.2279812323745574,0.2698000663597481,0.35163247201527714
