run,fold,epoch_v2,epoch_v3,holdout_v2,holdout_v3,M1_v2,M1_v3,M1_difference
runB,1,9,9,0.7194651651655808,0.7194651651655808,0.6241586617698585,0.6241586617698585,0.0
runB,4,9,9,0.7084915342724936,0.7084915342724936,0.6304022386940893,0.6304022386940893,0.0
blocked,1,12,12,0.6985117372351279,0.6982892324533393,0.5687721780700907,0.5794365729889481,0.0106643949188574
