station_id,gap_v2,gap_v3
BOMAustralia__001202A,-0.2873942558081839,-0.35510299356610253
BOMAustralia__003204A,-0.09894324066310062,0.9109153055121124
BOMAustralia__003205A,1.2710482772316365,0.11510396384300509
BOMAustralia__003302A,5.2384929627551315,2.7233741354324668
BOMAustralia__107003A,0.0714334321475788,0.005156196413531822
BOMAustralia__108002A,-0.023709448140909917,-0.06230290990476517
BOMAustralia__110001D,0.020155763501138485,0.11959239733802082
BOMAustralia__110002A,-0.42122887221508065,-0.5255178118716102
BOMAustralia__110011B,0.0412979532150447,-0.01540474931781799
BOMAustralia__110020A,0.08378821783518381,0.1370146429587763
BOMAustralia__112003A,-0.5063748829225794,-0.1533134080569272
BOMAustralia__120106B,-0.35600392143372317,-0.4241080073794932
BOMAustralia__120209B,0.013997029528313165,-0.375524821692366
BOMAustralia__120305A,1.377015621154123,1.351699567629944
BOMAustralia__120306A,-0.0007229400127712893,0.25148500698246046
BOMAustralia__121002A,-0.3885634470436241,0.5877741834825976
BOMAustralia__121004A,0.060066576730495425,0.5283669804982634
BOMAustralia__125009A,-0.09163825609998222,0.30952810477878845
BOMAustralia__125016A,-0.026798383688481496,0.6664664745082589
BOMAustralia__129001A,-0.27971586091244294,-0.22694020552426108
BOMAustralia__130206A,-0.07896515767915763,0.1942408069509869
BOMAustralia__130207A,-0.07808257979107439,-0.3036067540661187
BOMAustralia__130213A,-0.03505326901322009,0.3285912830634996
BOMAustralia__130344A,-0.25524801319794027,-0.133011491724994
BOMAustralia__130378A,-0.8512336123918207,-1.6244557229850831
BOMAustralia__130403A,0.12204115069062915,0.00398956383125848
BOMAustralia__130510A,0.1061138291557358,0.1530108699732447
BOMAustralia__134002A,0.05601134931260059,0.1536376884395235
BOMAustralia__136101C,1.5369824542840016,-0.038282561688412375
BOMAustralia__136108A,17.525851662427765,-1.7726731158933795
BOMAustralia__136109B,3.8926523057984976,10.259755078605735
BOMAustralia__136203A,-0.08381755181024447,-0.10663816348052624
BOMAustralia__136209A,-1.0257984754451055,-3.162073094079579
BOMAustralia__136213A,-0.15992511464484038,0.3646576765778673
BOMAustralia__136304A,-2.4598138678805963,0.5074197351992513
BOMAustralia__138001A,-0.04887948174950574,-0.1256453549274269
BOMAustralia__138111A,0.0976528959940518,0.07763418574012881
BOMAustralia__138113A,0.12318982752710506,0.07196027534276944
BOMAustralia__141008A,-0.23461829959811112,-0.05646003069910077
BOMAustralia__142203A,1.3444135200040677,0.12949056464289743
BOMAustralia__143007A,0.005293402179648354,-0.07790033620385484
BOMAustralia__143110A,0.0002751416549061081,0.005543513731447347
BOMAustralia__143112A,-1.669203241569501,-1.5169039315208572
BOMAustralia__143121A,0.016677679630425768,0.12096664371384558
BOMAustralia__143212A,0.1064297546252786,0.2174827841678526
BOMAustralia__143901A,-0.06397094290576999,0.1134054659332383
BOMAustralia__145003B,-0.16213052847701376,-0.21033321716495157
BOMAustralia__145014A,0.03169574142773657,0.061442274827690935
BOMAustralia__145024A,-0.03342349826455182,-0.20997457247763696
BOMAustralia__145027A,0.02940588324779647,0.04150260744287615
BOMAustralia__145103A,-1.581562935030496,-1.214490923249769
BOMAustralia__145105B,0.2310302079000653,0.10626018701522677
BOMAustralia__201012,0.0864209298725474,0.011577514627478885
BOMAustralia__203059,0.34041051165944514,-0.41028393389547624
BOMAustralia__203061,0.09602846511069418,0.024473342048448532
BOMAustralia__204039,0.2521102569370079,0.43749721620011484
BOMAustralia__204900,-0.053675067224460915,-0.07866338485207869
BOMAustralia__205002,0.018037512309124426,-0.2686984353822881
BOMAustralia__205017,-0.009010687194461076,-0.09685176904342452
BOMAustralia__206032,0.133954891500416,-0.1011325798781284
BOMAustralia__207013,0.005585785130475807,0.11665430188586123
BOMAustralia__207014,-0.03327680598801275,-0.2267312408548704
BOMAustralia__208003,-0.11439589634596792,-0.12504425583197865
BOMAustralia__208015,-0.09474404950276116,-0.12263362547766282
BOMAustralia__209002,-0.10987223756430564,-0.06081154630259
BOMAustralia__210011,-0.008489561950159097,0.007725293090856233
BOMAustralia__210014,-0.038009084940884064,-0.13223393339720135
BOMAustralia__210022,-0.02167863069399134,-0.030766093358539304
BOMAustralia__210080,-0.05738770385795819,-0.1353862090052919
BOMAustralia__210091,0.0013367934541759219,0.02174956165404282
BOMAustralia__210136,0.020834541141242502,0.14679581027810318
BOMAustralia__210150,-0.0514271394529347,0.10025289746764493
BOMAustralia__211008,-0.08600021591865159,-0.10611377110623427
BOMAustralia__211010,-0.07907635971151017,0.2263208866083154
BOMAustralia__211013,-0.08054885513607779,0.06268800100282629
BOMAustralia__212031,-0.0705670299252098,0.016037707524061195
BOMAustralia__212049,0.1916083608102917,-0.23531049523647174
BOMAustralia__212209,-0.2188623100401842,-0.1380035186821007
BOMAustralia__212228,0.1633997465124098,0.060620781196223605
BOMAustralia__2122516,-0.05096821837893195,-0.16905226747862578
BOMAustralia__2122711,0.19275423658018442,0.22458689506900087
BOMAustralia__213005,-0.011400786192887091,-0.13830469787161903
BOMAustralia__215014,0.2040960898625931,0.0708343211144189
BOMAustralia__215209,-0.09276175455141261,0.040693174216170414
BOMAustralia__215216,-0.05309609945316163,0.09711857510198474
BOMAustralia__215233,0.16249715875818604,0.48548151653408744
BOMAustralia__216002,-0.10301337368187341,-0.04648816854365462
BOMAustralia__217006,0.26930108022417165,0.32309251356631385
BOMAustralia__217007,-0.026523619555205435,0.01019686235450723
BOMAustralia__219013,0.06253761319840162,-0.04476960709519051
BOMAustralia__219017,-0.0787395205021626,-0.11677638721881661
BOMAustralia__219025,-0.05130256792762533,-0.14181711381279505
BOMAustralia__220003,-0.11620547983128238,-0.2417060778774161
BOMAustralia__221209,0.02662076649221934,0.19261121662806818
BOMAustralia__222019,-0.120211442665841,-0.04669838044984531
BOMAustralia__222206,0.05827270776075166,-0.016464469613130195
BOMAustralia__222213,0.18795092352530518,0.2657690146242651
BOMAustralia__223208,-0.19482765136448965,-0.06118241032341187
BOMAustralia__223212,-0.18192949518977497,0.04341266594616483
BOMAustralia__224207,0.36780271393426744,0.02592995450367158
BOMAustralia__224213,0.011237021792951163,-0.12845142006828725
BOMAustralia__224217,0.23417954314592804,-0.06633963542092902
BOMAustralia__225020A,1.3831421843749307,-0.4095035114238109
BOMAustralia__225105,-1.6865446289484738,-0.9470620563587209
BOMAustralia__225110A,-0.2670288011974179,-0.11438314787586745
BOMAustralia__225213,-0.13510919644365021,0.03562643576559832
BOMAustralia__225230A,0.23003729864588732,0.1920231666330161
BOMAustralia__226005,0.08789377446306501,-0.02793935194655861
BOMAustralia__226204,-0.04412730275514487,0.04973236404075132
BOMAustralia__226205,0.1398746367544792,0.38797074303558127
BOMAustralia__226220,-0.26717913096947954,0.09659357625016624
BOMAustralia__226233,0.9024280233394051,0.9321833246655129
BOMAustralia__226400B,0.07083156867679297,0.06805485024993008
BOMAustralia__226407,0.19196956098909984,-0.08254799017346026
BOMAustralia__226409C,0.03046718776614138,-0.3071427554561386
BOMAustralia__227211,-0.0845204609264274,-0.32866992280095625
BOMAustralia__227226,0.07465705525697891,-0.2516958626181522
BOMAustralia__227228,0.1274645388636112,0.0993869614883901
BOMAustralia__227243,1.285012449702017,1.6313921129162587
BOMAustralia__228232,-0.7999551359159824,0.6469896784038012
