split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.7093022060929164,0.6488689995982242
val,30,28,2,0.5367824055068117,0.2907254855406728
test,30,28,2,0.5062644856852366,0.26070859012616493
