split,station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge
train,02070000,4456,0.7304933761319004,0.7343103283308405,0.7128326593921919,0.6691144446550554
train,02191300,2082,0.9240584061603722,0.9490288959965919,0.9227892133927331,0.9035907566820041
train,02207448,437,0.9291486714360538,0.8778993493408107,0.9124887906184922,0.8000257173215336
train,02232500,2723,0.9109718920973479,0.8757377603736389,0.9155606322048887,0.9437459513673316
train,02245500,3867,0.7710648115876761,0.7083637779732659,0.7836364283183618,0.7851374188521199
train,02246459,1162,0.13109744406503365,0.051068956503834695,0.07050700277825006,-0.09660692606353272
train,02294217,2572,0.8186174583195447,0.7038379415896077,0.8548937156932287,0.7980559888206943
train,02307000,3408,0.7158655661178682,0.6080082425937113,0.7623241024306289,0.6944922304023177
train,02399200,3219,0.9142740541622695,0.8819614869679673,0.9002881646745717,0.8098745756813232
train,02413210,1385,0.9184476792792551,0.9145735481654749,0.9066803557423776,0.8368637118472426
train,02423130,3082,0.8016490150184752,0.6908611317680593,0.7895246057720964,0.6474266457308873
train,02455000,3170,0.873656176004166,0.8665984560781347,0.8623973829252239,0.8073253007900033
train,02458450,3075,0.7836555305670097,0.8103026153439344,0.7729461795623708,0.7290317856598627
train,02470072,2545,0.7461251527130623,0.7603762156301772,0.7401438075764568,0.6852088242656196
train,03164000,4398,0.8448832690047984,0.7959642760129836,0.8265679896447198,0.7342543611633747
train,07025500,888,0.5918032199009506,0.48096709397666204,0.5527709311422235,0.4280496795420461
train,07058000,2820,0.8407061565670195,0.8212669994362034,0.8248789606549229,0.7555250229090049
train,07071500,3199,0.8977418037547525,0.8442786064269656,0.8747646875822985,0.7680259070311907
train,07076517,2467,0.5698349441349784,0.6329386657972512,0.5605906601628585,0.5837634622851872
train,07281600,2907,0.8768197051482187,0.9265982741237782,0.8874354751116947,0.9121068222378939
train,07369500,2493,0.8789237898589131,0.8780910830893849,0.8826747960677195,0.8777707005472458
train,07377000,1975,0.8888440750029866,0.875195296831528,0.8882414049265837,0.8646390939714982
val,02070000,1724,0.618771346962327,0.8033513807195775,0.6360374772198247,0.7730301462130218
val,02152474,172,-0.06103248978434794,0.20064876204227466,-0.06103248978434794,0.20064876204227466
val,02191300,1628,0.731837443219387,0.8537349535252794,0.7427538990685183,0.8125486534211139
val,02207448,1600,0.470004034674116,0.7364213833298864,0.5098779484528388,0.7311660993577681
val,02232500,1702,0.802706545340135,0.7179710428777057,0.823706070823111,0.7831105775897503
val,02245500,1735,0.678585766379864,0.7470631950300699,0.6278662603959746,0.652756031465273
val,02246459,651,-0.2538850198446714,0.013605574184986091,0.14445931557884373,0.25187786656754374
val,02294217,1618,0.6665385394958598,0.6172986350487697,0.6910896083555995,0.6728991760121975
val,02307000,1653,0.7038322452138646,0.5911609111824581,0.732717829643815,0.6206494322953621
val,02343225,122,0.5870260893547262,-0.06231019600530252,0.7270806688197915,0.3430367287390885
val,02390000,1102,-107.13283978254051,-8.702140917816628,-107.13283978254051,-8.702140917816628
val,02399200,1721,0.7440564906589748,0.6851100125537255,0.7233280311994967,0.6337366752068245
val,02413210,454,0.6597051923658607,0.5807503951176072,0.63354032522583,0.5293871204754736
val,02423130,1690,0.7202598170439894,0.35448058660172677,0.7028115489218872,0.4028448509194942
val,02455000,1633,0.8185043612549754,0.764073746559874,0.798691723457097,0.7114695006760415
val,02458450,1735,0.7445540642473255,0.8575910185829215,0.751699752297541,0.8105937349919177
val,02470072,1738,0.6428199260649019,0.640687002918783,0.6359742583355974,0.5989567531492455
