split,rmse_target,mae_target,r2_target,corr_target
train,0.4100438849107307,0.2871521770109453,-0.01749588894820664,0.07700723979554715
val,0.6038737655849316,0.40357959666584153,-0.06999154552118703,0.07230105393890508
test,0.7818670092865101,0.5167675662461821,0.003139924475701772,0.08902653128432894
