component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.5249066562821116,0.5933310919766034,0.03438692763527462,-355.20765447756514,0.40706091992426774,decreased,2.173100984083965e-121
kge_r,8979,0.7902087660954057,0.8001371873499378,0.001751804069762608,0.01255207942637039,0.47677915135315735,decreased,1.155274791876644e-20
kge_alpha,8979,0.8612193063280267,0.8764471110248189,0.01164153738911633,-2.6512445279523753,0.4029401937854995,moved away from 1.0,0.0022875203158229467
kge_beta,8979,1.015732294138026,0.9723355473386937,-0.05177189314708108,-493.00733141439207,0.4482681813119501,moved away from 1.0,2.5247448653422795e-102
nse,8979,0.5027826653395979,0.5502921147470511,0.018070711077670776,35578.92038112813,0.42577124401381,decreased,7.4449152081219566e-93
sim_std,8979,0.06321848811005,0.0643332286055476,0.0004280111732709998,0.0011074685149452832,0.4710992315402606,decreased,6.331092015768578e-05
