band,n,M0,M1,gain,alpha_M0
<-30,1055,0.2752692582446835,0.3607723244423844,0.06718681624378187,0.8175347682889603
-30..0,675,0.2198225800297596,0.2520588217836215,0.04863381946833195,0.674432171056964
0..30,174,0.3305805894713393,0.5091531655593584,0.11375457322854696,0.8725386856886316
30..45,4945,0.5756164613727661,0.658168813171256,0.05524203415518225,0.8240611420889834
45..60,1921,0.6053616455072047,0.7019618734145647,0.07676455277367444,0.7922851544247418
>60,73,0.2657717326723221,0.5937267953451038,0.24746378717120737,0.7462317151317107
