split,rmse_std_vs_residual,mae_std_vs_residual,r2_std_vs_residual,corr_std_vs_residual
train,0.23842420467913863,0.10095700424896432,-0.039259758887457474,0.08880835784611173
val,0.3950509472536954,0.1474820752935499,-0.032483086599284894,0.01826281684197951
test,0.3797365020448646,0.15628457178832295,-0.03406086063544023,-0.00012519255123088463
