split,station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge
train,02070000,4659,0.7304933833599166,0.7343103436303644,-0.33131120895602884,0.4125417357155029
train,02152474,4659,,,,
train,02191300,4659,0.9240584148841167,0.9490289024134633,0.9192557629823203,0.9408131682257859
train,02207448,4659,0.9291486812505659,0.87789938121119,0.7443144173397115,0.8323287924005637
train,02232500,4659,0.9109718869700295,0.8757377208144722,0.9112713095466938,0.8778697672383934
train,02245500,4659,0.7710647951820927,0.7083637458014505,0.7461749202285173,0.7488722394596726
train,02246459,4659,0.13109744268013523,0.051068953397008676,0.06607068579378983,0.08047731907928446
train,02294217,4659,0.8186174678265208,0.7038379626021416,0.5155478443365282,0.7318359219107611
train,02307000,4659,0.7158655754266108,0.6080082700179026,0.5107102330147979,0.7479027359978734
train,02343225,4659,,,,
train,02390000,4659,,,,
train,02399200,4659,0.9142740457908595,0.8819614635711001,0.8778616277666522,0.9293995385272686
train,02413210,4659,0.9184476828153814,0.9145735741925366,0.8570148204600636,0.909193669583424
train,02423130,4659,0.8016490235624555,0.6908611649417282,-1.488228928545281,0.022415679787441745
train,02455000,4659,0.873656178863631,0.8665984590949581,0.8538957070018696,0.9055535409584534
train,02458450,4659,0.7836555497516916,0.8103026855971212,0.20234721208005457,0.6199190121634708
train,02470072,4659,0.7461251389342023,0.7603761783411243,-8.614090028500051,-1.392294718268377
train,03164000,4659,0.8448832562149176,0.7959642565929866,0.8607952349407882,0.8551318980172572
train,03485500,4659,,,,
train,03601630,4659,,,,
train,07025500,4659,0.5918032565651976,0.4809671287583328,0.5547994627637951,0.5301848116974794
train,07058000,4659,0.8407061562328143,0.8212669871113358,0.7627325045182257,0.8521789882520638
train,07071500,4659,0.8977418026674607,0.8442785944053032,0.8587264955236674,0.8912598136114087
train,07076517,4659,0.5698349382048444,0.6329386576035464,0.5665462885210211,0.6422282553389154
train,07281600,4659,0.8768197111406977,0.9265982944675327,0.8761077980787448,0.9249579205592324
train,07346045,4659,,,,
train,07369500,4659,0.8789237736379241,0.8780910083750043,0.8321204525550541,0.8421671272597184
train,07375960,4659,,,,
train,07377000,4659,0.8888440699279684,0.8751953227169559,0.8853840001600741,0.8796319736259521
train,08039100,4659,,,,
val,02070000,1738,0.618771341425681,0.8033513745350374,-0.6418687520937845,0.28809670303262624
val,02152474,1738,-0.06103269898229158,0.20064864614774236,-0.14086230884400686,0.277889867622814
val,02191300,1738,0.7318374363951052,0.8537349316715446,0.7222266605108181,0.8586119020913515
val,02207448,1738,0.4700040265515457,0.7364213888552387,-1.087891945152299,0.1478576028996299
val,02232500,1738,0.8027065407661271,0.7179710190196096,0.8012966219228377,0.7194145032207948
val,02245500,1738,0.6785858106419934,0.747063250534165,0.6364160853380559,0.7436162372992938
val,02246459,1738,-0.2538850424581951,0.013605569049209842,-0.536782048832382,-0.058895064521757634
val,02294217,1738,0.6665385792507057,0.6172987004723249,0.458118787790477,0.6461740848709158
val,02307000,1738,0.7038322613905994,0.5911609643788018,0.4682048945302594,0.7297575007039983
val,02343225,1738,0.5870260715600661,-0.062310191012086236,0.581978193736133,-0.06185503134856929
val,02390000,1738,-107.13283784230465,-8.702140810817761,-113.58503747501494,-9.001873286698705
val,02399200,1738,0.7440564899818959,0.6851100068967675,0.6980143868205864,0.7295333620044997
val,02413210,1738,0.6597052246664006,0.58075046945555,0.5979006861388815,0.6622977030651486
val,02423130,1738,0.7202598360645358,0.35448062480935216,-3.4308228976146173,-0.5407779830033332
val,02455000,1738,0.8185043426765,0.7640737356548644,0.793038126542846,0.8221882083597629
val,02458450,1738,0.7445540815767511,0.8575910244134133,-0.5924725537494591,0.3152800240685413
val,02470072,1738,0.6428199348224094,0.6406869188540855,-5.31761227619554,-0.7887342846478349
val,03164000,1738,0.7800576784382183,0.7176127938204258,0.7828480320119273,0.7476683910798987
val,03485500,1738,,,,
val,03601630,1738,-12713.171232155733,-116.43705485552961,-31323.828255414363,-179.5111056887691
val,07025500,1738,,,,
val,07058000,1738,0.8196260929370912,0.717250783829204,0.799903576632145,0.7632961036633374
val,07071500,1738,0.764809301794051,0.8024321425973298,0.7272870918412573,0.8558249899203527
val,07076517,1738,0.3513260036741279,0.5543457702607334,0.34652858199729797,0.565615269951775
val,07281600,1738,0.5354431924737721,0.7327666471628477,0.5374602796090542,0.733449821054906
val,07346045,1738,-0.6506209155689691,-0.592144394785507,-0.6991104083606248,-0.5636991340194788
val,07369500,1738,0.8270157254008316,0.8730488115683728,0.7982092475614033,0.8481302202588089
val,07375960,1738,-6.1659102754065875,-2.4979901776452214,-6.6296959214784925,-2.5651794049704004
val,07377000,1738,0.7854234282147128,0.7837219921647121,0.7701144532504569,0.7669384592224087
val,08039100,1738,-0.2364852925532801,-0.45733837265145394,-0.229166292415377,-0.6245330935761406
test,02070000,2467,0.7317986273025456,0.8205976496949212,-0.2204069989435442,0.42722147943078614
test,02152474,2467,0.5265677225305836,0.7659928562049994,0.23324366144000508,0.6112658990638293
test,02191300,2467,0.6308565079819621,0.6719502475585595,0.5957561248963548,0.6461657258438023
test,02207448,2467,-0.16000860289212215,0.08510990427815124,-3.3659283476855757,-0.6769170902005703
test,02232500,2467,0.3832213594573287,0.38464884455419446,0.38208720410987196,0.3848832911385375
test,02245500,2467,0.2958762834638784,0.6176708565727922,0.20156381315927663,0.5463275496066495
test,02246459,2467,-2.369356877177224,-0.9979369358403396,-6.403309355099992,-1.640810293433944
test,02294217,2467,0.26796073215855254,0.31726554584768574,-0.825515639309111,0.25587789578839226
test,02307000,2467,0.6550924826376976,0.5426308338434886,0.4947793802713033,0.6153185500252751
test,02343225,2467,-0.2819024991463155,-0.21201307084228427,-0.19409222133714343,-0.13888727547646118
test,02390000,2467,-61.24133530913318,-6.7541818121779045,-65.45378092463491,-7.007055129048215
test,02399200,2467,0.7687775103413999,0.7994204185200753,0.7244756127538352,0.8305843827922852
test,02413210,2467,0.786761304385472,0.8006759410822888,0.6820755763594168,0.8385119303697308
test,02423130,2467,0.6205096426214206,0.6623620834102077,-2.579064299851649,-0.25468120079074197
test,02455000,2467,0.8157494820382232,0.773566736848243,0.7998523999108671,0.8215849560545898
test,02458450,2467,0.6137111160664828,0.5705482140462624,-0.5620196517719354,0.14652470357066416
test,02470072,2467,0.7151347608737566,0.7811430066903502,-10.990522703366548,-1.7611068024293446
test,03164000,2467,0.7988074704004685,0.8345614464054559,0.7964901526976745,0.8573817264879996
test,03485500,2467,,,,
test,03601630,2467,-9413.223170853273,-106.95805325955453,-13412.796819935644,-123.74938854347899
test,07025500,2467,,,,
test,07058000,2467,0.773670210659218,0.7699830550603667,0.7546849988709281,0.7870845265672743
test,07071500,2467,0.5827514850703184,0.7193480270727979,0.5647157019459514,0.734642534063967
test,07076517,2467,0.4414837148103752,0.5458583046334042,0.43235729557634484,0.5493513240461321
test,07281600,2467,0.5726864468611256,0.7836663897100633,0.5765116765401423,0.7861034884252334
test,07346045,2467,-0.23086041632591825,-0.6085229671009185,-0.2263637501119069,-0.6375161130936013
test,07369500,2467,0.7625527553905598,0.7428474041391262,0.6949140081385317,0.7023818273485003
