split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.7336550508129484,0.6499642671033172
val,30,28,2,0.5181806099089574,0.29478555646373666
test,30,28,2,0.49239547622285385,0.25747352105419863
