component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.5212769367087268,0.6204379210256772,0.0630619137210301,-138.28568264219106,0.3223076066377102,decreased,2.0678926687405516e-300
kge_r,8979,0.7965385736352402,0.8128114143800017,0.00618158944546332,0.014505636257747001,0.39982180643724247,decreased,1.0854496327864345e-121
kge_alpha,8979,0.8148359496288949,0.8463642900471968,0.030540759009898832,0.36763848405603894,0.36006236774696515,moved away from 1.0,7.238869078034187e-27
kge_beta,8979,1.017707941713622,0.9802912215646696,-0.035565067972751496,137.95585212076176,0.40483350038979843,moved away from 1.0,3.545636262511122e-72
nse,8979,0.51549360474545,0.5893705012096271,0.03348625469884381,-45944.37950268677,0.3402383338901882,decreased,7.400258539006741e-265
sim_std,8979,0.060462913556183,0.0614925768276649,0.001236391613397697,0.007218231808609362,0.4269963247577681,decreased,6.561042297479458e-72
