method,n_basins_scored,median_kge,median_nse,frac_kge_gt_0
MTS-LSTM ensemble,283,-0.06628789195354923,0.08591648549629816,0.392226148409894
ERA5-Land runoff,283,-0.33360387192619845,-1.4068649963931117,0.24734982332155478
continent-PUB baseline (prior work),294,0.279,0.245,0.7551020408163265
