station_id,cv_M0,n_days_M0,cv_M1,n_days_M1,ratio_M1_over_M0
GRDCCaravan__1160271,-0.30367926,1611,0.1912571,1611,-0.6297997
GRDCCaravan__1160290,0.10181297,1625,0.104522854,1625,1.0266162
GRDCCaravan__1160295,0.12972604,1580,0.11047627,1580,0.85161215
GRDCCaravan__1160300,-0.18684578,1623,0.1448095,1623,-0.7750215
GRDCCaravan__1160301,-0.17887671,1512,0.14588077,1512,-0.8155381
GRDCCaravan__1160303,0.19375622,1569,0.15708795,1569,0.8107505
GRDCCaravan__1160304,0.22902164,1631,0.1342083,1631,0.5860071
GRDCCaravan__1160305,0.13405466,1636,0.1132188,1636,0.8445719
GRDCCaravan__1160317,0.121703655,1580,0.17251411,1580,1.4174932
GRDCCaravan__1160320,-0.2766493,1444,0.08397544,1444,-0.30354476
GRDCCaravan__1160332,0.16482757,1251,0.17788549,1251,1.0792217
GRDCCaravan__1160340,-0.20855346,895,0.12354192,895,-0.5923753
GRDCCaravan__1160351,0.24504212,1640,0.14761318,1640,0.60239923
GRDCCaravan__1160396,-0.42083722,1592,0.25788683,1592,-0.6127947
GRDCCaravan__1160400,0.35878468,1624,0.17650145,1624,0.49194255
GRDCCaravan__1160403,0.2515815,1630,0.20170648,1630,0.80175406
GRDCCaravan__1160405,0.31042868,1624,0.26540402,1624,0.8549597
GRDCCaravan__1160417,0.40939614,1616,0.24443313,1616,0.59705776
GRDCCaravan__1160419,0.3232664,1519,0.21244285,1519,0.6571758
GRDCCaravan__1160420,0.22177653,1543,0.13275109,1543,0.5985804
GRDCCaravan__1160427,0.14984223,1606,0.28815433,1606,1.9230515
GRDCCaravan__1160430,0.13027093,1613,0.14419359,1613,1.1068747
GRDCCaravan__1160450,-0.2716756,1643,0.16650818,1643,-0.61289346
GRDCCaravan__1160453,-0.359378,624,0.12563445,624,-0.34958857
GRDCCaravan__1160455,0.12742203,1637,0.19709098,1637,1.5467575
GRDCCaravan__1160456,0.10396351,1641,0.19551235,1641,1.8805864
GRDCCaravan__1160457,0.10683457,1624,0.1958675,1624,1.8333719
GRDCCaravan__1160459,0.28064457,59,0.16285576,59,0.58029187
GRDCCaravan__1160485,0.6664156,120,0.18759933,120,0.28150502
GRDCCaravan__1160487,0.3992879,1033,0.22400883,1033,0.5610208
GRDCCaravan__1160490,-0.36819226,1187,-0.32857016,1187,0.89238745
GRDCCaravan__1160500,0.79045814,1617,-0.30119932,1617,-0.38104397
GRDCCaravan__1160550,-0.12119371,1636,-0.21533522,1636,1.7767855
GRDCCaravan__1160602,0.21266222,1580,0.23864406,1580,1.1221743
GRDCCaravan__1160625,0.26168,1642,-0.37903288,1642,-1.4484595
GRDCCaravan__1160630,-0.1997923,1640,-0.37344292,1640,1.8691558
GRDCCaravan__1160635,0.15408176,1627,0.28557077,1627,1.8533716
GRDCCaravan__1160641,0.1804589,1644,0.10195248,1644,0.5649623
GRDCCaravan__1160650,0.18149304,1601,0.1403256,1601,0.77317345
GRDCCaravan__1160671,0.1650601,1642,0.12552562,1642,0.76048434
GRDCCaravan__1160675,0.3474463,1520,0.12110842,1520,0.3485673
GRDCCaravan__1160680,-0.17314565,1549,0.107746154,1549,-0.6222862
GRDCCaravan__1160685,-0.27134395,1621,0.12188209,1621,-0.44917932
GRDCCaravan__1160700,0.19350281,1581,0.10054361,1581,0.51959765
GRDCCaravan__1160701,0.11021776,1302,0.07295792,1302,0.66194344
GRDCCaravan__1160715,0.27220994,1616,0.080873914,1616,0.29710126
GRDCCaravan__1160717,0.13741782,1579,0.18056963,1579,1.3140191
GRDCCaravan__1160720,0.25394595,1644,0.10577352,1644,0.41651982
GRDCCaravan__1160721,0.18038514,1225,0.12342843,1225,0.6842494
GRDCCaravan__1160725,0.08007206,666,0.15537098,666,1.9403894
GRDCCaravan__1160750,-0.29664457,1534,0.121217616,1534,-0.40862915
GRDCCaravan__1160755,-0.304478,1640,0.15341309,1640,-0.50385606
GRDCCaravan__1160756,-0.24431008,1618,0.15086327,1618,-0.61750734
GRDCCaravan__1160763,0.057170145,1315,0.10734485,1315,1.8776382
GRDCCaravan__1160765,-0.4098322,1617,0.14405377,1617,-0.35149452
GRDCCaravan__1160770,0.101940945,1354,0.111875325,1354,1.0974523
GRDCCaravan__1160773,0.20634282,896,0.14098495,896,0.6832559
GRDCCaravan__1160775,0.11064276,1622,-0.20359093,1622,-1.8400745
