station_id,kge_M0,nse_M0,kge_r_M0,kge_alpha_M0,kge_beta_M0,n_days_M0,kge_M1,nse_M1,kge_r_M1,kge_alpha_M1,kge_beta_M1,n_days_M1,kge_era5_land,nse_era5_land,kge_r_era5_land,kge_alpha_era5_land,kge_beta_era5_land,n_days_era5_land
GRDCCaravan__1159653,-0.16804786761503143,0.2657997221789299,0.7394951894842476,0.4753147163549451,-0.010533729206740661,1561,0.8370466177387403,0.7251731835926956,0.8551375257121904,0.9319105048662051,1.030536682629631,1561,-0.13369564367908282,-2.323585172613406,0.34837198835892147,1.9098299259257927,1.1812629383836943,1561
GRDCCaravan__1159660,-0.039052419296344176,0.41960429454193515,0.8957874972722232,0.3192483334919237,0.2219596071750028,1630,0.38533638606518117,0.634532335566705,0.8240611152747557,0.6661638701330014,1.4851909990225227,1630,0.12039121713509493,-1.1460172903667853,0.2422763083746739,1.3365922946077937,1.2937210330456905,1630
GRDCCaravan__1159670,0.41933835083200843,0.4774455345616656,0.793286082687148,1.1410036407163726,0.4760197708802409,1526,0.48143796691568763,0.2329782694510827,0.8170767694499557,1.4755508777671642,0.9035788584565067,1526,-3.119560578637045,-19.344997847216934,0.259749967513368,4.6233656632910884,2.814946423602376,1526
GRDCCaravan__1159673,-0.41393556954515076,0.10527149953309345,0.8916777584764977,0.19174005580034298,-0.15507400170667046,422,0.6243392347414469,0.6639575209183504,0.8217813127400517,0.7642715396372106,1.2319293061279046,422,0.14402099100591503,-1.1258105027996255,0.1864824247204943,1.2636932500631999,1.036811525653746,422
GRDCCaravan__1160101,-0.30303050407840715,-0.06080419356745814,0.5755845789838586,0.13432277813950014,0.12343682913642423,1269,0.6010679761139652,0.6623252479136991,0.8343125386999893,0.6644978358224832,0.8616789145431258,1269,-0.3374846196269847,-0.10421903036193592,0.7035164332290432,0.09195695990429828,0.06382670423298893,1269
GRDCCaravan__1160113,-0.09725258334918885,0.08937797077980447,0.7399144577273064,0.3360988385286864,0.16600120493838355,1633,0.7707005805537533,0.7451857085634018,0.8675570788479292,0.8679871843801769,0.8672984065385095,1633,-0.2870327274265325,-0.16751454845887426,0.43126908567862116,0.22628158531102535,0.14305297518847332,1633
GRDCCaravan__1160115,0.16523526425504265,0.3913213435493188,0.7281888280815021,0.5685710138922409,0.3390764939800733,1627,0.569489567062059,0.6241341107402225,0.8309295347014581,0.990977862061138,0.6041805820084618,1627,-0.3438624525320346,-0.2454640505584902,0.15807501348971845,0.4251331208219481,0.12441066724224857,1627
GRDCCaravan__1160210,-0.07553060755427232,0.19612950354795655,0.714508591197353,0.2771638504111689,0.2565158749956155,1494,0.7705062334690378,0.7533677477777012,0.8699774504299713,0.8546011474379949,1.120916083105307,1494,-0.2791632378844229,-0.0018533049397337908,0.6140939879537302,0.16255405915673496,0.11342262876461622,1494
GRDCCaravan__1160220,-0.4223300617954109,-0.1139179547385265,0.8063892699376113,0.035904341707274606,-0.027646462336518986,1624,0.7519913040554846,0.7439378767282347,0.8655663703278169,0.7942086806423986,1.0329521676725386,1624,-0.42342169042230204,-0.06674376330872467,0.2784869832151234,0.18087985015950103,0.08644077613985623,1624
GRDCCaravan__1160230,-0.32485374304389114,-0.0408164527985746,0.7981356536963661,0.08804422512305861,0.060412382575519216,1629,0.7311729180047066,0.8092096696141848,0.913546882550068,0.7582860398892601,0.9201988722831808,1629,-0.4571616014414386,-0.12465780459397213,0.4218502576539497,0.07882405322254113,0.030207401956879095,1629
GRDCCaravan__1160240,-0.28077346691919547,-0.32276691560287696,0.7312115751051881,0.1626299271137879,0.06890128491049803,1632,0.6713790173349727,0.7440858104819328,0.8855843564502888,0.7860273731975823,0.7783775152695311,1632,-0.3235979318078017,-0.37639353118500973,0.5360806872045742,0.1946935468214182,0.057571290351231735,1632
GRDCCaravan__1160250,0.725878074451954,0.6749338976945285,0.879753342117124,1.1909475460680992,1.1556361332876728,1636,0.7416197417970398,0.7463779531230614,0.8995663582173891,1.1436635911859263,1.189826799991133,1636,0.36022093387555076,-0.02708982953702166,0.4014026237157286,0.8328298790742686,0.8481692217423121,1636
