split,baseline_kge,baseline_nse,transfer_kge,transfer_nse,transfer_kge_gain_vs_baseline,transfer_nse_gain_vs_baseline,symbolic_kge,symbolic_nse,symbolic_kge_gain_vs_baseline,symbolic_nse_gain_vs_baseline
train,-71.97146203777984,-800.8863470631452,-42.635065285962135,-384.061136919458,29.33639675181771,416.8252101436872,-35.03274434690891,-315.2758547390078,36.93871769087093,485.6104923241374
val,-59.571765065887035,-668.9298670577809,-50.276992559811106,-771.1391165228466,9.29477250607593,-102.20924946506568,-36.668602164006835,-349.5402988917573,22.9031629018802,319.38956816602365
test,-95.66576865708679,-1318.8242576797045,-57.81366905393633,-915.383532437043,37.85209960315046,403.44072524266153,-55.278613540031444,-415.39723528865477,40.38715511705534,903.4270223910497
