split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,18,12,-42.635065285962135,-384.061136919458
val,30,23,7,-50.276992559811106,-771.1391165228466
test,30,24,6,-57.81366905393633,-915.383532437043
