station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
11172175,val,transfer,-11.666666666666666,3,67,5
11173500,val,transfer,-4.0,5,5,519
11174000,val,transfer,-6.0,1,1,473
11176900,val,transfer,,0,88,1
11203580,val,transfer,,0,4,415
11204100,val,transfer,-6.0,7,19,557
11204900,val,transfer,,0,0,0
11274790,val,transfer,,0,0,0
11335655,val,transfer,-13.0,2,33,395
11447360,val,transfer,1.296875,64,76,640
11451715,val,transfer,,0,43,1
11466065,val,transfer,5.384615384615385,13,49,205
11466200,val,transfer,5.385964912280702,57,61,87
10250800,val,symbolic,,0,0,0
10260500,val,symbolic,-6.25,8,13,12
10260865,val,symbolic,,0,0,0
10260950,val,symbolic,0.25,4,4,122
10289500,val,symbolic,54.0,2,2,375
10291500,val,symbolic,,0,4,426
10296000,val,symbolic,0.0,2,156,80
10296500,val,symbolic,-1.0,2,149,87
10310000,val,symbolic,6.142857142857143,7,46,359
11051499,val,symbolic,20.25,4,29,29
11092450,val,symbolic,,0,82,25
11113000,val,symbolic,-1.3333333333333333,21,21,683
11140585,val,symbolic,3.5714285714285716,7,8,357
11147070,val,symbolic,,0,0,0
11151870,val,symbolic,,0,0,0
11154700,val,symbolic,3.0,1,1,510
11170000,val,symbolic,,0,0,0
11172175,val,symbolic,28.0,2,67,2
11173500,val,symbolic,-9.4,5,5,490
11174000,val,symbolic,-7.0,1,1,447
11176900,val,symbolic,,0,88,0
11203580,val,symbolic,,0,4,451
11204100,val,symbolic,-0.3333333333333333,3,19,561
11204900,val,symbolic,,0,0,0
11274790,val,symbolic,,0,0,0
11335655,val,symbolic,5.041666666666667,24,33,596
11447360,val,symbolic,11.1,20,76,692
11451715,val,symbolic,69.0,1,43,1
11466065,val,symbolic,11.952380952380953,21,49,172
11466200,val,symbolic,4.466666666666667,60,61,106
10250800,test,baseline,,0,0,0
10260500,test,baseline,0.0,4,9,8
10260865,test,baseline,3.5,6,7,13
10260950,test,baseline,-1.1111111111111112,9,14,204
10289500,test,baseline,,0,2,561
10291500,test,baseline,-5.8,5,6,946
10296000,test,baseline,21.153846153846153,13,135,707
10296500,test,baseline,9.619718309859154,71,118,824
10310000,test,baseline,7.555555555555555,9,32,540
11051499,test,baseline,,0,12,80
11092450,test,baseline,9.345454545454546,55,91,620
11113000,test,baseline,4.0,2,20,2
11140585,test,baseline,8.214285714285714,14,17,1224
11147070,test,baseline,,0,0,0
11151870,test,baseline,,0,0,0
11154700,test,baseline,-5.0,1,1,46
11170000,test,baseline,,0,0,0
11172175,test,baseline,-2.0,1,67,4
11173500,test,baseline,,0,2,11
11174000,test,baseline,-39.0,1,1,64
11176900,test,baseline,-0.043478260869565216,23,108,629
11203580,test,baseline,2.0,1,3,1
11204100,test,baseline,2.25,4,18,6
11204900,test,baseline,,0,0,0
11274790,test,baseline,,0,0,0
11335655,test,baseline,1.92,25,26,216
11447360,test,baseline,-15.4,5,83,600
11451715,test,baseline,-17.0,1,47,618
11466065,test,baseline,4.5,4,16,40
11466200,test,baseline,6.484848484848484,33,99,432
10250800,test,transfer,,0,0,0
10260500,test,transfer,-2.4444444444444446,9,9,29
10260865,test,transfer,-1.7142857142857142,7,7,537
10260950,test,transfer,0.7857142857142857,14,14,621
10289500,test,transfer,17.0,2,2,858
10291500,test,transfer,-7.666666666666667,3,6,831
10296000,test,transfer,-3.5,2,135,573
10296500,test,transfer,4.25,12,118,812
10310000,test,transfer,-12.0,3,32,465
11051499,test,transfer,6.3,10,12,950
11092450,test,transfer,41.0,1,91,45
11113000,test,transfer,-3.125,16,20,972
11140585,test,transfer,3.1176470588235294,17,17,1408
11147070,test,transfer,,0,0,0
11151870,test,transfer,,0,0,0
11154700,test,transfer,-5.0,1,1,1328
11170000,test,transfer,,0,0,0
11172175,test,transfer,22.0,3,67,9
11173500,test,transfer,29.0,2,2,726
11174000,test,transfer,4.0,1,1,688
11176900,test,transfer,11.142857142857142,7,108,14
11203580,test,transfer,8.0,1,3,902
11204100,test,transfer,-4.428571428571429,7,18,863
11204900,test,transfer,,0,0,0
11274790,test,transfer,,0,0,0
11335655,test,transfer,3.5,2,26,149
11447360,test,transfer,4.216216216216216,74,83,936
11451715,test,transfer,4.333333333333333,3,47,4
11466065,test,transfer,6.222222222222222,9,16,64
11466200,test,transfer,3.891304347826087,92,99,125
10250800,test,symbolic,,0,0,0
10260500,test,symbolic,-2.5,8,9,23
10260865,test,symbolic,0.5714285714285714,7,7,556
10260950,test,symbolic,0.7142857142857143,14,14,632
10289500,test,symbolic,-69.0,1,2,405
10291500,test,symbolic,,0,6,655
10296000,test,symbolic,32.333333333333336,3,135,79
10296500,test,symbolic,-11.0,3,118,106
10310000,test,symbolic,38.666666666666664,3,32,563
11051499,test,symbolic,,0,12,34
11092450,test,symbolic,-4.5,2,91,60
11113000,test,symbolic,-0.95,20,20,990
11140585,test,symbolic,0.0625,16,17,1184
11147070,test,symbolic,,0,0,0
11151870,test,symbolic,,0,0,0
11154700,test,symbolic,-5.0,1,1,643
11170000,test,symbolic,,0,0,0
11172175,test,symbolic,5.833333333333333,6,67,7
11173500,test,symbolic,25.5,2,2,673
11174000,test,symbolic,4.0,1,1,669
11176900,test,symbolic,11.0,1,108,1
11203580,test,symbolic,,0,3,1016
11204100,test,symbolic,-3.6,5,18,856
11204900,test,symbolic,,0,0,0
11274790,test,symbolic,,0,0,0
11335655,test,symbolic,0.88,25,26,252
11447360,test,symbolic,5.444444444444445,36,83,1041
11451715,test,symbolic,-9.8,5,47,8
11466065,test,symbolic,5.7272727272727275,11,16,53
11466200,test,symbolic,1.989247311827957,93,99,238
