split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,18,12,-71.97146203777984,-800.8863470631452
val,30,23,7,-59.571765065887035,-668.9298670577809
test,30,24,6,-95.66576865708679,-1318.8242576797045
