split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,18,12,-35.03274434690891,-315.2758547390078
val,30,23,7,-36.668602164006835,-349.5402988917573
test,30,24,6,-55.278613540031444,-415.39723528865477
