split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,-0.11302452510970995,-0.7912954544840353
val,30,26,4,0.008329076220594533,-0.3865483030487811
test,30,25,5,0.04087198094412592,-0.23609425594098088
