split,baseline,baseline_valid_n,symbolic,symbolic_valid_n,transfer,transfer_valid_n
train,-0.3188405797101449,24,1.2164502164502164,24,-0.30434782608695654,23
val,-0.506578947368421,24,0.059523809523809534,24,1.2372881355932204,23
test,3.25,23,-2.2666666666666666,23,-4.724722222222223,22
