split,baseline_kge,baseline_nse,transfer_kge,transfer_nse,transfer_kge_gain_vs_baseline,transfer_nse_gain_vs_baseline,symbolic_kge,symbolic_nse,symbolic_kge_gain_vs_baseline,symbolic_nse_gain_vs_baseline
train,0.15820953243029506,-0.13117866755089969,-0.8084430148792684,-3.663307644776596,-0.9666525473095635,-3.5321289772256965,-0.11302452510970995,-0.7912954544840353,-0.271234057540005,-0.6601167869331356
val,-0.05848655910624467,-0.3096012522638818,-0.32246857152224884,-0.9161426363582422,-0.26398201241600416,-0.6065413840943604,0.008329076220594533,-0.3865483030487811,0.0668156353268392,-0.07694705078489927
test,0.18267271018709974,-0.07872008355502769,-0.20772397408737397,-0.6689586407084847,-0.3903966842744737,-0.590238557153457,0.04087198094412592,-0.23609425594098088,-0.14180072924297382,-0.1573741723859532
