station_id,selection_note
01031300,informative common-valid test stations for U2 Dfb(E)-GL three-model comparison
01161000,informative common-valid test stations for U2 Dfb(E)-GL three-model comparison
01170100,informative common-valid test stations for U2 Dfb(E)-GL three-model comparison
