station_id,STANAME,DRAIN_SQKM_x,HUC02,lat,lon,STATE,BOUND_SOURCE,HCDN_2009,HBN36,OLD_HCDN,NSIP_SENTINEL,FIPS_SITE,COUNTYNAME_SITE,NAWQA_SUID,is_dfb,p_mean,pet_mean,aridity_index,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,DRAIN_SQKM_y,ELEV_MEAN_M_BASIN,ELEV_STD_M_BASIN,SLOPE_PCT,RRMEAN,RRMEDIAN,BAS_COMPACTNESS,STREAMS_KM_SQ_KM,STRAHLER_MAX,TOPWET,CLAYAVE,SANDAVE,AWCAVE,PERMAVE,BDAVE,for_pc_use,crp_pc_use,urb_pc_use,selection_seed,selection_region,selection_note,train_samples,train_score_status,train_exclusion_reason,train_nse,train_kge,val_samples,val_score_status,val_exclusion_reason,val_nse,val_kge,test_samples,test_score_status,test_exclusion_reason,test_nse,test_kge
01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",9.3897,01,42.8600847,-71.8328544,NH,1,,,,,33011,Hillsborough,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",74299,ok,,-1163.4505669860227,-56.49990292714664,28,ok,,-269383.7451129282,-66.97320413191235,0,excluded,no_valid_windows,,
01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",1035.51,01,42.63675806,-71.3020047,MA,1,,,,,25017,Middlesex,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",98717,ok,,-0.4088449890730135,-0.21882656800564204,34824,ok,,-0.7582572781281889,-0.2596127587891548,51068,ok,,-0.32027071568943,-0.18587830780858594
01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",173.1114,01,42.671481,-71.149224,MA,1,,,,,25009,Essex,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",0,excluded,no_valid_windows,,,16447,ok,,-1.9428668438729635,-0.377487467732613,40152,ok,,-0.6689586407084847,-0.20772397408737397
01103280,"CHARLES RIVER AT MEDWAY, MA",169.119,01,42.13982,-71.389503,MA,1,,,,,25021,Norfolk,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",46021,ok,,0.2147403710966328,0.2904573403655849,32755,ok,,0.20350735998792024,0.2870641563980427,47303,ok,,0.34487697631533387,0.39499773515511194
01134500,"MOOSE RIVER AT VICTORY, VT",195.1299,01,44.51172311,-71.8373143,VT,1,yes,,yes,,50009,Essex,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",63664,ok,,-9.091836420292738,-2.9715608059759866,23568,ok,,-6.7914034316928396,-1.9916277276302248,40852,ok,,-10.56109885548233,-3.169363512720529
01135500,"PASSUMPSIC RIVER AT PASSUMPSIC, VT",1124.902,01,44.36561471,-72.03926132,VT,1,,,,,50005,Caledonia,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",70426,ok,,0.24763116652425987,0.23063368952632524,24424,ok,,0.07587606197155083,0.14405672260844937,36892,ok,,0.27431324722853834,0.20168552632005887
01161000,"ASHUELOT RIVER AT HINSDALE, NH",1089.694,01,42.7859158,-72.4861997,NH,1,,,,,33005,Cheshire,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",78089,ok,,-1.29415293527717,-0.6865001716114714,30481,ok,,-1.431840208286665,-0.47844432025287653,43896,ok,,-1.83522154722499,-0.6703140724756154
01170000,"DEERFIELD RIVER NEAR WEST DEERFIELD, MA",1451.378,01,42.53591944,-72.6534233,MA,1,,,,,25011,Franklin,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",98320,ok,,0.41549419450956115,0.5613863502360629,33864,ok,,0.3675944208192904,0.5581312391592058,45658,ok,,0.2827069255194117,0.46548412876289424
01170100,"GREEN RIVER NEAR COLRAIN, MA",106.9924,01,42.70341694,-72.6706475,MA,4,yes,,yes,,25011,Franklin,conn,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",83720,ok,,-8.600242604179577,-2.574537059310598,29304,ok,,-8.278249743234436,-2.13897576677615,43890,ok,,-11.682488988365925,-2.5473550923115336
01171300,"FORT RIVER NEAR AMHERST, MA",107.6271,01,42.3584236,-72.50592028,MA,4,,,,,25015,Hampshire,conn,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,U2 Dfb(E)-GL,"Figure-inferred box lon=[-92.0, -67.0], lat=[42.0, 48.0] + Koppen Dfb screening from monthly climate attributes; requested 30, selected 30",36455,ok,,-13.340502968727575,-3.4078527704441512,0,excluded,no_valid_windows,,,0,excluded,no_valid_windows,,
