split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,-0.8084430148792684,-3.663307644776596
val,30,26,4,-0.32246857152224884,-0.9161426363582422
test,30,25,5,-0.20772397408737397,-0.6689586407084847
