station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
01054200,val,transfer,8.5,60,100,78
01073319,val,transfer,0.6666666666666666,3,4,10
01081000,val,transfer,-5.9411764705882355,17,25,155
01085000,val,transfer,,0,0,0
01089500,val,transfer,-6.222222222222222,9,9,30
01091000,val,transfer,-16.5,6,6,11
01091500,val,transfer,,0,0,0
01092000,val,transfer,3.4651162790697674,43,52,188
01093800,val,transfer,,0,0,0
01099500,val,transfer,11.3125,16,26,202
01100627,val,transfer,-32.0,7,17,101
01103280,val,transfer,-18.92,25,33,61
01134500,val,transfer,-0.08928571428571429,56,66,153
01135500,val,transfer,8.360655737704919,61,96,97
01161000,val,transfer,-16.708333333333332,24,38,64
01170000,val,transfer,15.231707317073171,82,114,121
01170100,val,transfer,11.662162162162161,74,88,140
01171300,val,transfer,,0,0,0
01173500,val,transfer,0.5952380952380952,42,57,90
03021350,val,transfer,1.2372881355932204,59,108,91
04062200,val,transfer,-3.0625,16,17,163
04074548,val,transfer,5.0,2,2,69
04270510,val,transfer,,0,0,0
04285500,val,transfer,6.346153846153846,26,65,89
04288225,val,transfer,12.0,4,28,75
04290500,val,transfer,5.724137931034483,58,92,112
05124480,val,transfer,,0,16,84
05379400,val,transfer,,0,0,0
01030500,val,symbolic,-22.533333333333335,15,19,120
01031300,val,symbolic,1.3571428571428572,42,50,141
01054200,val,symbolic,6.131578947368421,76,100,170
01073319,val,symbolic,-10.0,4,4,11
01081000,val,symbolic,-6.739130434782608,23,25,180
01085000,val,symbolic,,0,0,0
01089500,val,symbolic,17.0,5,9,13
01091000,val,symbolic,-4.166666666666667,6,6,8
01091500,val,symbolic,,0,0,0
01092000,val,symbolic,-0.38095238095238093,42,52,150
01093800,val,symbolic,,0,0,0
01099500,val,symbolic,-22.363636363636363,22,26,137
01100627,val,symbolic,-24.58823529411765,17,17,106
01103280,val,symbolic,-10.5,32,33,97
01134500,val,symbolic,-3.269230769230769,52,66,178
01135500,val,symbolic,9.11864406779661,59,96,104
01161000,val,symbolic,-2.5833333333333335,24,38,79
01170000,val,symbolic,12.10958904109589,73,114,106
01170100,val,symbolic,10.420289855072463,69,88,100
01171300,val,symbolic,,0,0,0
01173500,val,symbolic,3.2222222222222223,45,57,88
03021350,val,symbolic,1.462686567164179,67,108,87
04062200,val,symbolic,1.6875,16,17,195
04074548,val,symbolic,0.5,2,2,95
04270510,val,symbolic,,0,0,0
04285500,val,symbolic,0.6060606060606061,33,65,93
04288225,val,symbolic,-1.55,20,28,118
04290500,val,symbolic,5.636363636363637,66,92,155
05124480,val,symbolic,-7.571428571428571,7,16,200
05379400,val,symbolic,,0,0,0
01030500,test,baseline,-15.071428571428571,28,34,236
01031300,test,baseline,1.5714285714285714,70,77,230
01054200,test,baseline,9.081632653061224,49,65,85
01073319,test,baseline,6.3,10,57,13
01081000,test,baseline,-0.6296296296296297,27,36,245
01085000,test,baseline,,0,0,0
01089500,test,baseline,7.733333333333333,15,65,16
01091000,test,baseline,9.357142857142858,14,73,15
01091500,test,baseline,,0,0,0
01092000,test,baseline,-1.92,50,79,186
01093800,test,baseline,,0,0,0
01099500,test,baseline,-14.894736842105264,19,26,127
01100627,test,baseline,-14.304347826086957,23,38,230
01103280,test,baseline,-3.40625,32,33,178
01134500,test,baseline,0.23529411764705882,68,106,113
01135500,test,baseline,9.173913043478262,46,117,54
01161000,test,baseline,4.559322033898305,59,68,114
01170000,test,baseline,17.74712643678161,87,208,97
01170100,test,baseline,9.942857142857143,70,110,83
