split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,24,6,0.15820953243029506,-0.13117866755089969
val,30,26,4,-0.05848655910624467,-0.3096012522638818
test,30,25,5,0.18267271018709974,-0.07872008355502769
