split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse
train,22,22,0,0.6004979329053277,0.6055878787098815,0.5539035426436293,0.5456020321611214
val,28,28,0,0.4655123599954293,0.4781348084226289,-0.5142010908916687,-15.205773865277669
test,28,28,0,0.3948604213113958,0.3742851883443357,-0.9298490170296353,-33.937948444467835
