epoch,train_loss,val_median_kge,val_median_nse
1,17.10582371713188,-0.3443577819044956,-0.14265894513435318
2,3.2087242754423198,-0.13557623129543572,0.011871553529786527
3,2.684959555319788,-0.1567114270702552,0.03504877281201435
4,2.4443459771481217,-0.16469927034384546,0.028557708164308082
5,2.277116645323443,-0.025994019859469586,0.10713535368095733
6,2.172128436594134,-0.039040120472319195,0.10100814248073725
7,2.005313549202016,0.15166469115031755,0.21772533097338043
8,1.916326631003862,0.11690641964805559,0.13398300449238398
9,1.833877134416205,0.15761812464834524,0.20317660529646775
10,1.7049899147435494,0.12396677926278227,0.29381241294595356
11,1.580810957476231,0.11416705443927905,0.20767887085467363
12,1.5480984348389557,0.14366931193289195,0.24642932478384272
13,1.442300169853621,0.24270761640681587,0.29746856820246254
14,1.41436394784714,0.30654878566961197,0.3003343364144382
15,1.287815464441915,0.3159049943518361,0.2892773799382927
16,1.2279812323745574,0.28018713870174045,0.3516324898788876
17,1.2009468835109645,0.28240180178679863,0.3420502618264652
18,1.1432436406480864,0.2156113209236034,0.330949927780521
19,1.0995510825073147,0.2874591305959829,0.4021619742432295
20,1.0257016381208044,0.36461129060746694,0.41412715615628803
21,0.975169465072773,0.40887742946556543,0.41648052907654504
22,0.9325627819667383,0.40558334569296295,0.4460687346788335
23,0.9738783614236012,0.4655123599954293,0.4781348084226289
24,0.8979277494341829,0.35816077449038863,0.4054432353535935
25,0.8219190643287397,0.413953668521255,0.4328198035071883
