split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse
train,30,22,8,0.6405281736164024,0.5393881894766287
val,30,28,2,0.5037088377139394,0.3320220730669578
test,30,28,2,0.43829251204835634,0.2876408829258787
