split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.7150805432848475,0.8214961915630571,0.6923009413942165,0.7568578389212891,1,0
val,30,28,2,0.5989483914927753,0.6180368404689398,-1.43894579986255,-61.08069723698378,6,5
test,30,28,2,0.6107340510663745,0.6103161644430128,-1.7904130760849184,-78.74871425300775,7,7
