method,n_basins_scored,median_kge,median_nse,frac_kge_gt_0
MTS-LSTM ensemble,283,0.0009279606812179209,0.007394478979565355,0.5017667844522968
ERA5-Land runoff,283,-0.3336100147255294,-1.4068649963931117,0.24734982332155478
continent-PUB baseline (prior work),294,0.279,0.245,0.7551020408163265
