split,n_stations,lstm_median_nse,lstm_median_kge,corrected_median_nse,corrected_median_kge,lstm_negative_nse_stations,lstm_negative_kge_stations,corrected_negative_nse_stations,corrected_negative_kge_stations
train,22,0.842794712785909,0.8157848073900689,0.8400659614214026,0.8083301461297717,0,0,0,3
val,28,0.6631218659308602,0.6628985077362542,0.6173398697885306,0.5569580890358928,7,6,8,9
test,28,0.5777189555584245,0.6400164487377367,0.46931001642637327,0.5593027998135094,8,7,9,10
