split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse,neg_kge_stations,neg_nse_stations
train,30,22,8,0.8280766801769341,0.8600849361154959,0.7776379204600595,0.8227552068452725,0,0
val,30,28,2,0.632652809652527,0.704676003156929,-2.167356275486591,-132.93231159241444,5,6
test,30,28,2,0.5626969849034791,0.530864124527071,-3.4896913829892626,-314.45946475631854,7,8
