source,n_stations,M0,M1,recovered
Germany,458,-0.0730293953358868,0.0011731529789653,1.0160641201199814
LamaHCE,834,-0.1212500944344416,-0.0017432504598445,0.9856226878174759
CAMELSH,5047,-0.050092257442958,-0.0055032385829916,0.8901379401944831
BOMAustralia,1607,-0.0644352686884998,-0.0075945879592209,0.8821361637221455
Japan,690,-0.0719094612288176,-0.0105632499882613,0.8531034747340299
LamaHIce,73,-0.1515302630932651,-0.0942228659738197,0.3781911015634769
