source,n_stations,median_random,median_blocked,paired_median_drop,frac_worse
BOMAustralia,1607,0.3386068091424473,0.3299188435655531,-0.007594587959220966,0.5164903546981954
CAMELSH,5047,0.6694090133536058,0.66020885730991,-0.005503238582991621,0.5211016445413117
Germany,458,0.6935452188591951,0.708453718517547,0.0011731529789653916,0.49563318777292575
Japan,690,0.6353349168212317,0.622859422533161,-0.01056324998826133,0.5565217391304348
LamaHCE,834,0.7054402474762365,0.6975680093898471,-0.0017432504598445808,0.5035971223021583
LamaHIce,73,0.5910112311586088,0.5356928034040132,-0.09422286597381979,0.6986301369863014
