fold,M0_kge,M1_kge,M0_alpha,M1_alpha,M0_r,M1_r,M0_beta,M1_beta,paired_delta_kge,frac_improved,n_basins
0,-0.0052709244452441295,0.48190318649771186,0.347450031794912,0.839218099384875,0.6682402239208909,0.7783581055529605,0.445046559472211,0.8393722438627982,0.41802757991591033,0.8546099290780141,282
1,-0.024309358652772617,0.5196420346038935,0.508022465638881,0.7717058246635484,0.6885314611238812,0.7873398693211195,0.37680395350653684,1.0323305533581082,0.45698525572249704,0.8439716312056738,282
2,0.10971781612980935,0.47973319499232325,0.5353032804198039,0.8299866690782487,0.6741276750675618,0.7767672264784979,0.6459995971576189,0.9500341000340189,0.29885115138499946,0.7943262411347518,282
3,0.09332779457986373,0.519024407465059,0.4786604722306139,0.7824054443114414,0.6896706619489298,0.7899713686364671,0.43482996807321006,1.0488077705921606,0.4061305750625887,0.8049645390070922,282
4,-0.017399985448991906,0.49473800993654987,0.3691862930362403,0.9245204366376822,0.6742542360703965,0.7875968264130565,0.35576731717799287,0.7846526256238033,0.42545147041346376,0.8049645390070922,282
