n_stations,lstm_median_nse,lstm_median_kge,corrected_median_nse,corrected_median_kge,lstm_negative_nse_stations,lstm_negative_kge_stations,corrected_negative_nse_stations,corrected_negative_kge_stations,split
28,0.6631218659308604,0.6628985077362542,0.7332593798846905,0.740145647677264,7,6,1,0,val
28,0.5777189555584245,0.6400164487377367,0.6310192730097344,0.69712824674965,8,7,2,1,test
