station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge,split
2070000,1724,0.618771346962327,0.8033513807195775,0.6274072901860834,0.7649140029843449,val
2152474,172,-0.06103248978434794,0.20064876204227466,,,val
2191300,1628,0.731837443219387,0.8537349535252794,0.7332593798846905,0.854531538762322,val
2207448,1600,0.470004034674116,0.7364213833298864,0.4616725544491661,0.740145647677264,val
2232500,1702,0.802706545340135,0.7179710428777057,0.8053089609735994,0.7104467136670759,val
2245500,1735,0.678585766379864,0.7470631950300699,0.672157815670818,0.7410061283609959,val
2246459,651,-0.2538850198446714,0.013605574184986091,-0.13139634872192496,0.18442432028347944,val
2294217,1618,0.6665385394958601,0.6172986350487698,0.7299874018605892,0.7458006646888165,val
2307000,1653,0.7038322452138646,0.5911609111824582,0.7410462562707083,0.6700949399923377,val
2343225,122,0.5870260893547262,-0.06231019600530252,,,val
2390000,1102,-107.1328397825405,-8.702140917816626,,,val
2399200,1721,0.7440564906589748,0.6851100125537255,0.7383814079079072,0.6651459706374118,val
2413210,454,0.6597051923658607,0.5807503951176072,0.6602251869944007,0.5795190051968659,val
2423130,1690,0.7202598170439896,0.35448058660172677,0.7227639222337352,0.4503133099741343,val
2455000,1633,0.8185043612549755,0.7640737465598739,0.8149013693401893,0.7560597511971652,val
2458450,1735,0.7445540642473255,0.8575910185829215,0.7574523455360376,0.8357958986119888,val
2470072,1738,0.6428199260649019,0.640687002918783,0.6461671244723308,0.6655252521872569,val
3164000,1689,0.7800576786435814,0.717612835375514,0.7545630006068451,0.6612882421281829,val
3601630,366,-12713.168338791114,-116.43704112674624,,,val
7058000,1267,0.8196261004577701,0.7172507879944323,0.7957005148772838,0.681883273259541,val
7071500,1717,0.7648093028389178,0.8024321443630449,0.7514812291430202,0.7553797405139736,val
7076517,1717,0.35132598265952975,0.554345773213175,0.3578915535610411,0.49900562489697486,val
7281600,1708,0.5354431457806019,0.7327666069567227,0.5951727238091187,0.7867279393890486,val
7346045,366,-0.6506208816880659,-0.5921443723003355,,,val
7369500,1723,0.827015735130952,0.8730488869889598,0.8256706012899366,0.7450911771609343,val
7375960,359,-6.165908706879014,-2.4979898829901206,,,val
7377000,1632,0.7854234271105313,0.783721972041586,0.8112606983753787,0.8717692969313954,val
8039100,25,-0.23648529596090162,-0.45733839226613404,,,val
2070000,2415,0.7317986459511627,0.8205976674514558,0.7330927836855079,0.7864113825786396,test
2152474,2449,0.5265676809149593,0.7659928292509723,,,test
2191300,2437,0.6308564414211046,0.6719501705674801,0.6290321819995865,0.666414038775825,test
2207448,2329,-0.1600084317920678,0.0851100130761614,-0.30194985951023456,0.0008142365188025247,test
2232500,2447,0.38322138547895224,0.3846489049536018,0.3412986023074015,0.32655012682376905,test
2245500,2404,0.29587629164706686,0.6176708625595606,0.27547188776554676,0.6024643936688074,test
2246459,568,-2.3693567170438636,-0.99793689342714,-1.140078727556284,-0.4529524866111263,test
2294217,2321,0.26796076241201316,0.31726552682485043,0.3185581779191964,0.42637351014640246,test
2307000,2340,0.6550924837125083,0.5426308274078275,0.6685024864340294,0.5417899134698023,test
2343225,2460,-0.28190243649684166,-0.21201303618095757,,,test
2390000,2462,-61.241334196454176,-6.7541817388697405,,,test
2399200,2445,0.7687775056880143,0.799420423963527,0.767838351342881,0.77318964611838,test
2413210,2436,0.7867613025946679,0.8006759427591084,0.7877283219984116,0.8083911507604424,test
2423130,2345,0.6205096251176283,0.6623620349159127,0.6310192730097344,0.69712824674965,test
2455000,2367,0.8157494830630008,0.7735667180826816,0.8160580197193456,0.7688819421662874,test
2458450,2462,0.6137111616771593,0.5705483034121365,0.615641163960347,0.5816619997419864,test
2470072,2428,0.7151347784301767,0.7811431204577061,0.7247178511700771,0.8214195215039974,test
3164000,2258,0.7988074702553903,0.8345614680150851,0.7910665503048366,0.7727908157528406,test
3601630,1340,-9413.223308887005,-106.95805182718057,,,test
7058000,2390,0.7736702090046345,0.7699830942883714,0.7597808143575226,0.7062556222426929,test
7071500,2465,0.582751481148365,0.719348032649068,0.583987687755225,0.6787078540225918,test
7076517,2442,0.441483727361519,0.5458583240119534,0.4132113018116743,0.47715067621338647,test
7281600,2393,0.572686429968484,0.7836663811542208,0.5778544111539883,0.7825826222222497,test
7346045,2459,-0.2308604079481249,-0.6085229555188871,,,test
7369500,2467,0.762552799023815,0.7428475091596224,0.7954798820271082,0.8417357560470314,test
7375960,2423,-2.4272248279712803,-1.2624528873326168,,,test
7377000,2460,0.7755376020833167,0.7652685569404967,0.7618845958581804,0.7124013675109023,test
8039100,127,-1.5324630670812356,-0.3819252207529784,,,test
