component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.4014157333717106,0.4774947756662112,0.0472919454051679,-431.85926260655134,0.4347922931284107,decreased,8.735448160037892e-57
kge_r,8979,0.7589073384273719,0.7863676138335762,0.013927664103329351,0.03152638714105538,0.3901325314623009,decreased,1.990400934687612e-154
kge_alpha,8979,0.8518706503392207,0.9493114579782416,0.09093753291332951,-1.257820701221801,0.3617329323978171,moved away from 1.0,2.808306574706516e-61
kge_beta,8979,1.03245246771088,0.8829295302452259,-0.1413427978031352,-815.5670820880947,0.5567435126406058,moved away from 1.0,3.4709274535452716e-144
nse,8979,0.384919885573702,0.4498183655872869,0.03286754338026121,137281.8744184085,0.42655084085087425,decreased,3.848140163118798e-76
sim_std,8979,0.0623708243675887,0.0692205256863035,0.004153559328398497,0.016559044230388696,0.3905780153691948,decreased,1.1872903305381659e-145
