epoch,train_loss,val_loss
1,1.053774802551337,0.6123644117746917
2,0.6214845343357093,0.5282339612368225
3,0.5378035033850355,0.5261191532290498
4,0.4533012000238396,0.46768785188723194
5,0.42866136280760564,0.3932778275921624
6,0.40970783980245307,0.3951156545709556
7,0.5572451555099268,0.4993072704725835
8,0.3575842607056664,0.4731695806057803
9,0.34060306032970034,0.31881746145164463
10,0.30969953835573744,0.3212056817680032
11,0.32946576798962013,0.2976053681035029
12,0.3031381477258991,0.29832157397228415
13,0.27878494439383916,0.2977425908937886
14,0.26844721384502107,0.340773634053376
15,0.2909084400991205,0.34858019747252333
16,0.26769863517158426,0.2869056557292156
17,0.2526004644650983,0.32334833853177886
18,0.2486182281114134,0.2927504598732205
19,0.2379630201302427,0.28901645976809615
20,0.22451248967434223,0.28902719219891954
21,0.23503351355930593,0.3075094803326334
22,0.22204961070903978,0.30928385828304134
23,0.22270620378369296,0.30255794224217836
24,0.21278635358481066,0.334571041507872
25,0.2129727878612332,0.3298439655506584
26,0.20179200100765368,0.29247857447521336
