split,station_id,samples,lstm_nse,lstm_kge,symbolic_nse,symbolic_kge
train,02070000,4659,0.7304933833599166,0.7343103436303644,-2.202207853110356,-0.6244881648435348
train,02152474,4659,,,,
train,02191300,4659,0.9240584148841167,0.9490289024134633,-0.0430428294716414,-0.2320714088662008
train,02207448,4659,0.9291486812505659,0.87789938121119,-1.5525480312995064,-0.45220054702248813
train,02232500,4659,0.9109718869700295,0.8757377208144722,-0.38390783872877643,-0.3367668542936122
train,02245500,4659,0.7710647951820927,0.7083637458014505,-1.1248743373464962,-1.2799983830732318
train,02246459,4659,0.13109744268013523,0.051068953397008676,-0.5341505831304532,-0.3713018718444612
train,02294217,4659,0.8186174678265208,0.7038379626021416,-22.009732363012777,-6.776634839394092
train,02307000,4659,0.7158655754266108,0.6080082700179026,-14.652289507459892,-5.089103268754458
train,02343225,4659,,,,
train,02390000,4659,,,,
train,02399200,4659,0.9142740457908595,0.8819614635711001,-0.11873018922806344,-0.5682909016299611
train,02413210,4659,0.9184476828153814,0.9145735741925366,-0.30815619176755327,-0.5475493047020608
train,02423130,4659,0.8016490235624555,0.6908611649417282,-5.277533819395619,-2.2979441274652808
train,02455000,4659,0.873656178863631,0.8665984590949581,-0.0767621888404959,-0.6100623964704388
train,02458450,4659,0.7836555497516916,0.8103026855971212,-1.8816049565030606,-0.6745440719734681
train,02470072,4659,0.7461251389342023,0.7603761783411243,-32.86736568777821,-9.07608042692586
train,03164000,4659,0.8448832562149176,0.7959642565929866,0.06529939609649149,-0.10332343085627249
train,03485500,4659,,,,
train,03601630,4659,,,,
train,07025500,4659,0.5918032565651976,0.4809671287583328,-0.10252668578133228,-0.581195364313458
train,07058000,4659,0.8407061562328143,0.8212669871113358,-0.5494473328786447,-0.7514053815245674
train,07071500,4659,0.8977418026674607,0.8442785944053032,-0.7904120940669508,-0.49564282012700867
train,07076517,4659,0.5698349382048444,0.6329386576035464,-0.04240488750307447,-0.12248998595021399
train,07281600,4659,0.8768197111406977,0.9265982944675327,0.2703453287868115,0.2947669027430184
train,07346045,4659,,,,
train,07369500,4659,0.8789237736379241,0.8780910083750043,-0.3715104459076022,-0.7617953035863452
train,07375960,4659,,,,
train,07377000,4659,0.8888440699279684,0.8751953227169559,-0.054735479140653576,-0.36718235907919516
train,08039100,4659,,,,
val,02070000,1738,0.618771341425681,0.8033513745350374,-4.762457224202314,-0.9667010474025151
val,02152474,1738,-0.06103269898229158,0.20064864614774236,-144.59799204845555,-9.072822454930078
val,02191300,1738,0.7318374363951052,0.8537349316715446,-0.3195653938703302,-0.29441890213793576
val,02207448,1738,0.4700040265515457,0.7364213888552387,-15.501375942245161,-2.496294252127825
val,02232500,1738,0.8027065407661271,0.7179710190196096,-0.39393564898253275,-0.5137329379473978
val,02245500,1738,0.6785858106419934,0.747063250534165,-1.0417245974561165,-1.8710657967791517
val,02246459,1738,-0.2538850424581951,0.013605569049209842,-2.320647552629339,-2.2409184757982334
val,02294217,1738,0.6665385792507057,0.6172987004723249,-18.421146598127045,-8.551498942888458
val,02307000,1738,0.7038322613905994,0.5911609643788018,-21.26857574455441,-6.8833411688208885
val,02343225,1738,0.5870260715600661,-0.062310191012086236,-1.931987690047709,-2.199380220446168
val,02390000,1738,-107.13283784230465,-8.702140810817761,-5.201126104216781,-0.8741152958269816
val,02399200,1738,0.7440564899818959,0.6851100068967675,-0.17592171556620917,-0.5718930707270733
val,02413210,1738,0.6597052246664006,0.58075046945555,-1.156301932936655,-0.8859124357817016
val,02423130,1738,0.7202598360645358,0.35448062480935216,-10.09922800570908,-4.963685142125507
val,02455000,1738,0.8185043426765,0.7640737356548644,-0.18213918874637525,-0.6430649200283987
val,02458450,1738,0.7445540815767511,0.8575910244134133,-5.700990589969913,-2.4146474656851264
val,02470072,1738,0.6428199348224094,0.6406869188540855,-48.11861489124613,-17.93036035499023
val,03164000,1738,0.7800576784382183,0.7176127938204258,0.029619037328048825,-0.12172646916586638
val,03485500,1738,,,,
val,03601630,1738,-12713.171232155733,-116.43705485552961,-41448.10369293459,-230.2098160266166
val,07025500,1738,,,,
val,07058000,1738,0.8196260929370912,0.717250783829204,-0.07117611976788196,-0.4864161280488326
val,07071500,1738,0.764809301794051,0.8024321425973298,-0.14904714424970833,-0.3164660523450864
val,07076517,1738,0.3513260036741279,0.5543457702607334,0.04957556270952446,-0.064495079891155
val,07281600,1738,0.5354431924737721,0.7327666471628477,0.20107131996348493,0.28928582710500983
val,07346045,1738,-0.6506209155689691,-0.592144394785507,-3.4705122747796633,-2.0086187743726214
val,07369500,1738,0.8270157254008316,0.8730488115683728,-0.3481780304962412,-0.5690979816758415
val,07375960,1738,-6.1659102754065875,-2.4979901776452214,-0.698022891792957,-0.9848393100430435
val,07377000,1738,0.7854234282147128,0.7837219921647121,-0.06506983672068678,-0.3993114630614434
val,08039100,1738,-0.2364852925532801,-0.45733837265145394,-0.20018488067795936,-0.7156284823270587
test,02070000,2467,0.7317986273025456,0.8205976496949212,-3.5764815220093125,-1.1593255033073562
test,02152474,2467,0.5265677225305836,0.7659928562049994,-0.9335666085958565,-0.6737364825903842
test,02191300,2467,0.6308565079819621,0.6719502475585595,-0.20592332480883857,-0.28291873913040644
test,02207448,2467,-0.16000860289212215,0.08510990427815124,-21.950383574824478,-3.9325403123802545
test,02232500,2467,0.3832213594573287,0.38464884455419446,-1.1395827122755238,-0.6572293756662713
test,02245500,2467,0.2958762834638784,0.6176708565727922,-1.0578057981079563,-1.3945509747272316
test,02246459,2467,-2.369356877177224,-0.9979369358403396,-22.538863453041962,-6.261394820034316
test,02294217,2467,0.26796073215855254,0.31726554584768574,-88.00465434105102,-14.69023698077227
test,02307000,2467,0.6550924826376976,0.5426308338434886,-8.57971380380925,-3.5109719025081674
test,02343225,2467,-0.2819024991463155,-0.21201307084228427,-1.0392008595327495,-0.8384704390649844
test,02390000,2467,-61.24133530913318,-6.7541818121779045,-1.528112106537728,-0.3212756853661658
test,02399200,2467,0.7687775103413999,0.7994204185200753,-0.13687427734754154,-0.5241847212109736
test,02413210,2467,0.786761304385472,0.8006759410822888,-0.5240160080750225,-0.6967704266973447
test,02423130,2467,0.6205096426214206,0.6623620834102077,-10.354007005839426,-3.9490732916048756
test,02455000,2467,0.8157494820382232,0.773566736848243,-0.07475470582283217,-0.60357969413721
test,02458450,2467,0.6137111160664828,0.5705482140462624,-4.136026534433343,-1.5899141611548955
test,02470072,2467,0.7151347608737566,0.7811430066903502,-58.42616650617305,-18.723030128927174
test,03164000,2467,0.7988074704004685,0.8345614464054559,0.04192949765072862,-0.1536150280347608
test,03485500,2467,,,,
test,03601630,2467,-9413.223170853273,-106.95805325955453,-5332.206764755324,-116.89525358974147
test,07025500,2467,,,,
test,07058000,2467,0.773670210659218,0.7699830550603667,-0.2478466781627109,-0.6249471294344662
test,07071500,2467,0.5827514850703184,0.7193480270727979,-0.16285501217871112,-0.3681384348949923
test,07076517,2467,0.4414837148103752,0.5458583046334042,0.10354888277637309,-0.006909867076015486
test,07281600,2467,0.5726864468611256,0.7836663897100633,0.022262501921374578,0.24571428286307928
test,07346045,2467,-0.23086041632591825,-0.6085229671009185,-0.7627929995614968,-1.3489512790939155
test,07369500,2467,0.7625527553905598,0.7428474041391262,-0.6881807811146159,-0.776717279189779
test,07375960,2467,-2.4272249489316837,-1.2624529202355674,-0.31055591128096904,-0.7121824563904782
test,07377000,2467,0.7755376032097296,0.7652685785566298,-0.007721785391953562,-0.27809985101669765
test,08039100,2467,-1.5324630504380208,-0.3819252037951637,-0.640908399237043,-0.18240365417467586
