split,rmse_std_vs_lstm,mae_std_vs_lstm,r2_std_vs_lstm,corr_std_vs_lstm
train,0.5221714668836269,0.29333840875336564,0.6326934110566889,0.79853838433361
val,0.48715720958195263,0.28234267642109295,0.6294942141023745,0.8013732357827026
test,0.5108742047983467,0.29848797995967086,0.5613344362467595,0.758625735552515
