component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.5249066562821116,0.5758339056259413,0.02635164019859182,-426.4454530437668,0.44192003563871257,decreased,1.6347853893904848e-45
kge_r,8979,0.7902087660954057,0.7975817948666747,0.00013022882214219766,0.009649249042840454,0.4989419757211271,decreased,9.027896056061297e-06
kge_alpha,8979,0.8612193063280267,0.956173406973476,0.09808597270495345,0.562355758259525,0.403051564762223,moved away from 1.0,1.5683549037047984e-212
kge_beta,8979,1.015732294138026,0.9772398286282928,-0.04617645478918986,-564.4190189632187,0.5056242343245351,moved away from 1.0,6.968549284111356e-58
nse,8979,0.5027826653395979,0.5126629262438476,-0.004129151912643101,-174244.10034685303,0.5129747187882838,decreased,0.07506706129544237
sim_std,8979,0.06321848811005,0.0714877887992266,0.004871327771081388,0.013749168625284908,0.3299922040316294,decreased,1.093083012675439e-264
