component,n_stations,M0_median,M1_median,median_delta,mean_delta,frac_worse,worse_criterion,wilcoxon_p
kge,8979,0.4185362097110719,0.6164973927984562,0.13327366865290058,-242.98242242990185,0.2453502617217953,decreased,0.0
kge_r,8979,0.7699105989412395,0.8077120726868562,0.0195228788985774,0.036853558937689095,0.2829936518543268,decreased,0.0
kge_alpha,8979,0.8084556675024982,0.8645903368373332,0.06067182852220199,-3.5193241779628646,0.29992204031629355,moved away from 1.0,5.962230555782621e-22
kge_beta,8979,1.0201987034949678,0.9990704629494628,-0.013062676945939655,-847.2631343302301,0.34179752756431675,moved away from 1.0,8.558588373850547e-29
nse,8979,0.4218542392938206,0.5794374767894384,0.0883833789791334,130494.57804076339,0.2391134870252812,decreased,0.0
sim_std,8979,0.0596939982118839,0.0628531714509353,0.0026927526960199982,0.009631351642931142,0.410958904109589,decreased,2.546491905432283e-97
