scheme_code,scheme_label,koppen_class,selection_order,target_count,station_id,lat,lon,val_samples,test_samples,val_reason,test_reason,min_dist_to_training_km,min_dist_to_selected_km
U2,U2 Dfb(E)-GL,Dfb,4,10,05432927,42.87472,-89.79929,7674.0,51215.0,ok,ok,893.0217427405946,286.6212723243908
U2,U2 Dfb(E)-GL,Dfb,5,10,01187300,42.03731639,-72.9389911,28320.0,46295.0,ok,ok,509.13707018163706,328.4126597464989
U2,U2 Dfb(E)-GL,Dfb,6,10,01011000,47.06961111,-69.07954444,21410.0,33649.0,ok,ok,1097.5708848289696,142.22025165517803
U2,U2 Dfb(E)-GL,Dfb,7,10,04296500,44.9403244,-72.1892683,29758.0,47231.0,ok,ok,760.5258251682991,199.29658527841215
U2,U2 Dfb(E)-GL,Dfb,8,10,05393500,45.44913202,-89.97931083,22994.0,34590.0,ok,ok,1047.4842825994117,217.26397455207373
U2,U2 Dfb(E)-GL,Dfb,9,10,01018009,46.11528,-67.84028,2924.0,27964.0,ok,ok,1099.856382572565,142.22025165517803
U2,U2 Dfb(E)-GL,Dfb,10,10,01048220,44.9475,-69.656944,2924.0,33029.0,ok,ok,908.7599394660838,189.74868341770733
U3,U3 Dfb(W)-RK,Dfb,1,6,06207500,45.010225,-109.0654219,30983.0,49248.0,ok,ok,964.1181296543614,187.16742963896053
U3,U3 Dfb(W)-RK,Dfb,2,6,06133500,48.97082,-113.05704,22221.0,30743.0,ok,ok,727.3652042255447,233.11424721588867
U3,U3 Dfb(W)-RK,Dfb,3,6,13310199,45.293611,-114.596389,31622.0,45358.0,ok,ok,530.0712217278988,188.82681661142126
U3,U3 Dfb(W)-RK,Dfb,4,6,06066500,46.994665,-112.0111108,35081.0,52584.0,ok,ok,734.1672453645617,146.1002945998621
U3,U3 Dfb(W)-RK,Dfb,5,6,06119600,46.476893,-110.249077,21598.0,33496.0,ok,ok,862.7853850411526,146.1002945998621
U3,U3 Dfb(W)-RK,Dfb,6,6,06012500,44.65602346,-112.371389,20160.0,28828.0,ok,ok,714.3998834681057,188.82681661142126
U4,U4 BSk-SW,BSk,1,3,08401900,32.50650391,-104.37495792,33118.0,51384.0,ok,ok,2062.778030742341,682.4422989692007
U4,U4 BSk-SW,BSk,2,3,06827500,40.01021667,-101.54208056,28517.0,20712.0,ok,ok,1729.110504542882,713.9754288984517
U4,U4 BSk-SW,BSk,3,3,09372000,37.32415968,-109.01566596,30366.0,44319.0,ok,ok,1381.6984056024307,682.4422989692007
U5,U5 BSk-NP,BSk,1,3,06447230,43.75527,-101.22792,30142.0,33887.0,ok,ok,1602.024011211414,396.4084504466176
U5,U5 BSk-NP,BSk,2,3,06331000,48.28446833,-103.57297177,29609.0,35764.0,ok,ok,1379.077408002158,535.1166330736353
U5,U5 BSk-NP,BSk,3,3,06647500,42.61193835,-105.85967113,29027.0,41495.0,ok,ok,1281.3801013166533,396.4084504466176
