fold,n_source_stations,kge_before,kge_after,nse_before,nse_after,frac_kge_gt_0_before,frac_kge_gt_0_after,paired_median_delta_kge
0,7078,0.637005631435597,0.5448855787707705,0.6177256508666957,0.5298429285707343,0.88231138739757,0.8250918338513704,-0.043333471735591156
1,7079,0.6366837608341223,0.5452313464650274,0.6220996056247701,0.5284024449375415,0.8922164147478457,0.8344398926402035,-0.05262365644909539
2,7085,0.6315521868434313,0.5482128551408355,0.6211241167888628,0.5314839785490697,0.8900494001411433,0.8389555398729711,-0.05566079563882831
3,7080,0.6322587573600285,0.5448345740908366,0.6239191962320672,0.5375471232736013,0.8939265536723164,0.8296610169491525,-0.05584691661780622
4,7074,0.6394803563803285,0.5529444556852807,0.6208767612182184,0.5289854624131725,0.8962397512015833,0.8305060785976817,-0.053893333688528555
