split,baseline,symbolic,transfer,baseline_valid_n,symbolic_valid_n,transfer_valid_n
test,0.10227272727272729,-0.8219594594594595,-0.8800963676797628,28,28,28
train,0.7075757575757576,-0.11666666666666665,-0.5259259259259259,22,22,22
val,-3.263392857142857,-3.6,-1.4893617021276595,26,27,27
