station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
07076517,val,transfer,18.048780487804876,123,273,261
07281600,val,transfer,3.076923076923077,13,13,202
07346045,val,transfer,-10.333333333333334,3,6,31
07369500,val,transfer,-15.902439024390244,41,41,201
07375960,val,transfer,-12.833333333333334,12,13,60
07377000,val,transfer,-3.967741935483871,31,36,89
08039100,val,transfer,-8.0,3,3,5
02070000,val,symbolic,-4.58,50,50,220
02152474,val,symbolic,-8.0,1,2,7
02191300,val,symbolic,-6.4423076923076925,52,65,78
02207448,val,symbolic,-2.4,15,20,35
02232500,val,symbolic,42.23870967741936,155,241,239
02245500,val,symbolic,4.392857142857143,28,34,109
02246459,val,symbolic,33.05940594059406,101,417,119
02294217,val,symbolic,-7.0,1,1,55
02307000,val,symbolic,-13.8,5,5,370
02343225,val,symbolic,-39.666666666666664,3,4,12
02390000,val,symbolic,1.0810810810810811,37,39,136
02399200,val,symbolic,1.4545454545454546,33,38,110
02413210,val,symbolic,-24.2,5,6,10
02423130,val,symbolic,0.7096774193548387,62,69,119
02455000,val,symbolic,-0.06666666666666667,60,73,82
02458450,val,symbolic,12.288,125,170,139
02470072,val,symbolic,-5.8,25,29,49
03164000,val,symbolic,-0.5636363636363636,55,73,72
03601630,val,symbolic,,0,0,6
07058000,val,symbolic,-9.05,20,21,89
07071500,val,symbolic,-3.6,20,20,87
07076517,val,symbolic,22.598540145985403,137,273,263
07281600,val,symbolic,-1.2307692307692308,13,13,177
07346045,val,symbolic,-17.0,5,6,57
07369500,val,symbolic,-13.0,41,41,159
07375960,val,symbolic,13.363636363636363,11,13,52
07377000,val,symbolic,-8.225806451612904,31,36,94
08039100,val,symbolic,-7.666666666666667,3,3,4
02070000,test,baseline,-0.5454545454545454,55,68,68
02152474,test,baseline,-3.888888888888889,54,63,78
02191300,test,baseline,-3.825,80,87,133
02207448,test,baseline,-5.346153846153846,26,30,90
02232500,test,baseline,27.85,60,258,391
02245500,test,baseline,2.2962962962962963,27,48,201
02246459,test,baseline,40.509433962264154,106,465,110
02294217,test,baseline,15.0,1,2,506
02307000,test,baseline,-6.413793103448276,29,31,463
02343225,test,baseline,-5.338983050847458,59,97,72
02390000,test,baseline,4.743589743589744,78,128,85
02399200,test,baseline,-5.484848484848484,66,84,88
02413210,test,baseline,-7.109756097560975,82,94,110
02423130,test,baseline,8.34,50,100,55
02455000,test,baseline,1.79,100,124,125
02458450,test,baseline,8.101382488479263,217,273,268
02470072,test,baseline,4.55,20,47,24
03164000,test,baseline,5.4,75,101,88
03601630,test,baseline,5.0,1,1,1
07058000,test,baseline,-3.135135135135135,37,44,92
07071500,test,baseline,1.1428571428571428,28,34,91
07076517,test,baseline,25.32894736842105,76,485,103
07281600,test,baseline,-3.3666666666666667,30,38,177
07346045,test,baseline,-25.6875,16,23,156
07369500,test,baseline,-4.677966101694915,59,60,286
07375960,test,baseline,-3.9420289855072466,69,86,152
07377000,test,baseline,-9.175675675675675,74,80,152
08039100,test,baseline,0.75,12,18,15
02070000,test,transfer,-3.8333333333333335,66,68,270
02152474,test,transfer,-4.508474576271187,59,63,155
02191300,test,transfer,-3.4430379746835444,79,87,173
02207448,test,transfer,-3.8275862068965516,29,30,109
02232500,test,transfer,30.842424242424244,165,258,369
02245500,test,transfer,2.4,35,48,125
02246459,test,transfer,51.88709677419355,62,465,62
02294217,test,transfer,4.5,2,2,160
02307000,test,transfer,-8.10344827586207,29,31,234
02343225,test,transfer,0.0,57,97,167
02390000,test,transfer,5.413793103448276,116,128,241
02399200,test,transfer,-1.358974358974359,78,84,177
02413210,test,transfer,-6.6,85,94,151
02423130,test,transfer,3.528735632183908,87,100,179
02455000,test,transfer,2.75,104,124,139
02458450,test,transfer,7.87719298245614,228,273,307
02470072,test,transfer,-0.6052631578947368,38,47,118
03164000,test,transfer,2.2048192771084336,83,101,121
03601630,test,transfer,2.0,1,1,38
07058000,test,transfer,-1.2702702702702702,37,44,161
07071500,test,transfer,-2.9285714285714284,28,34,129
