epoch,train_loss,val_median_kge,val_median_nse
1,17.038578317072695,-0.1647863858655143,-0.15068270214473956
2,3.214666627514162,-0.07692980245281344,-0.04460121134762385
3,2.6501443627531835,-0.012056888037203617,-0.01740030610637755
4,2.469133750669136,0.03554798558621569,0.11547469585166303
5,2.2839019708511197,0.030366545992679295,0.13412238225164402
6,2.1884523166053627,0.14286825938683795,0.17705961770439177
7,2.023698505018102,0.19982335522249894,0.19316495641065062
8,1.9076073496628245,0.24005925007709972,0.12043522275704788
9,1.8392316226905805,0.16696053005001082,0.242990679525264
10,1.6968518160009116,0.25686879673979257,0.21327924675535548
11,1.6002816153410395,0.24391530082895096,0.32740089643288334
12,1.5635129621732702,0.2797099557584298,0.16021493652227414
13,1.4454165003777684,0.3108243976106071,0.3223468785937778
14,1.3619305086751035,0.3268351474513411,0.3693413533676934
15,1.2967359512614345,0.35599640114737535,0.3394760818718375
16,1.2514950457826937,0.37009525370859014,0.3604206129729426
17,1.182062268350226,0.3855895417968395,0.36175380305575505
18,1.1056185172401853,0.4049077420410423,0.37928355950447895
19,1.1172110753459248,0.4123417053585765,0.35424018480252095
20,1.012485119904308,0.4268157983481725,0.40540635808413433
21,0.9871114032172607,0.3985785210751267,0.4016956119706869
22,0.9303581599670362,0.4155367382639973,0.4154773721237208
23,0.8662443585740631,0.43127417156704634,0.461474892130912
24,0.8426459859514698,0.46585092514233145,0.41233967179396364
25,0.8130640466237307,0.4032693041438832,0.4120091998146545
