split,n_total_stations,n_valid_stations,n_excluded_stations,median_kge,median_nse,mean_kge,mean_nse
train,22,22,0,0.6285395484363401,0.6378029188017507,0.42686268423283646,0.5560591811985712
val,28,28,0,0.46585092514233145,0.41233967179396364,-0.18401133702144637,-26.628855943342387
test,28,28,0,0.43725956280730893,0.34382622929374407,-0.5520272958400759,-19.087049183095413
