station_id,source,lat,long,area,provenance,polygon_source,polygon_area_km2,area_ratio,west,south,east,north
restricted_ADHI__362,restricted_ADHI,9.344,16.073,6004.012,continent_pub_baseline,station_boundary,6136.367492134248,1.022044508261184,15.0,8.3,16.3,9.5
restricted_ADHI__367,restricted_ADHI,7.733,0.667,345.989,continent_pub_baseline,station_boundary,341.4103795982323,0.9867665723425667,0.5,7.5,1.1,8.0
restricted_ADHI__371,restricted_ADHI,9.09,1.05,463.15,continent_pub_baseline,station_boundary,455.42524445334755,0.9833212662276748,0.9,8.9,1.4000000000000001,9.4
restricted_ADHI__375,restricted_ADHI,10.717,0.1,305.674,continent_pub_baseline,station_boundary,299.06827596855703,0.9783896437660942,-0.1,10.5,0.4,11.100000000000001
restricted_ADHI__380,restricted_ADHI,10.533,0.317,184.604,continent_pub_baseline,station_boundary,180.71279223746342,0.9789213247679541,0.0,10.4,0.5,10.9
restricted_ADHI__381,restricted_ADHI,10.22,0.717,500.756,continent_pub_baseline,station_boundary,490.7328950217694,0.9799840541536585,0.5,10.0,1.2000000000000002,10.600000000000001
restricted_ADHI__383,restricted_ADHI,6.505,1.338,2572.574,continent_pub_baseline,station_boundary,2543.698216904764,0.9887755286746909,0.7000000000000001,6.300000000000001,1.6,7.4
restricted_ADHI__384,restricted_ADHI,6.879,0.822,853.615,continent_pub_baseline,station_boundary,843.5753289481063,0.9882386426528427,0.4,6.7,1.0,7.5
restricted_ADHI__395,restricted_ADHI,7.4,0.867,259.283,continent_pub_baseline,station_boundary,256.07119862800056,0.9876127575969136,0.5,7.1000000000000005,1.0,7.6000000000000005
restricted_ADHI__401,restricted_ADHI,7.167,1.167,386.104,continent_pub_baseline,station_boundary,381.49430006976894,0.9880609889298452,0.8,6.9,1.3,7.5
restricted_ADHI__403,restricted_ADHI,7.533,1.083,377.541,continent_pub_baseline,station_boundary,372.6760568398219,0.987114132875163,0.7000000000000001,7.4,1.3,7.800000000000001
restricted_ADHI__499,restricted_ADHI,7.25,13.567,1628.947,continent_pub_baseline,station_boundary,1657.8579260900392,1.0177482300467966,13.4,6.9,14.4,7.5
restricted_ADHI__530,restricted_ADHI,10.148,-0.795,4713.786,continent_pub_baseline,station_boundary,4620.225910043194,0.9801518164047315,-1.0,9.700000000000001,0.1,10.8
restricted_ADHI__533,restricted_ADHI,10.313,-12.418,408.806,continent_pub_baseline,station_boundary,409.9778555735273,1.0028665322268442,-12.600000000000001,10.0,-12.0,10.5
restricted_ADHI__574,restricted_ADHI,9.88,0.567,5409.45,continent_pub_baseline,station_boundary,5312.687696214174,0.9821123582275785,0.4,9.1,1.7000000000000002,10.200000000000001
restricted_ADHI__575,restricted_ADHI,10.0,1.108,3763.753,continent_pub_baseline,station_boundary,3692.291086266918,0.9810131234081826,0.9,9.5,1.8,10.600000000000001
restricted_ADHI__577,restricted_ADHI,9.015,0.682,2622.158,continent_pub_baseline,station_boundary,2578.9821167524133,0.9835342175232817,0.5,8.5,1.4000000000000001,9.5
restricted_ADHI__597,restricted_ADHI,10.125,-8.758,6937.522,continent_pub_baseline,station_boundary,6897.603966872424,0.9942460675256128,-9.200000000000001,8.4,-8.200000000000001,10.4
restricted_ADHI__654,restricted_ADHI,36.32,2.025,338.713,continent_pub_baseline,station_boundary,272.953761044791,0.8058555799298845,1.8,36.2,2.4000000000000004,36.6
