tile,n_basins,north,west,south,east,n_lon,n_lat,n_cells
h_adhi258,1,11.8,-14.3,10.6,-13.0,14,13,182
h_car1160725,1,-29.0,29.5,-30.0,31.0,16,11,176
h_car1199200,1,-27.2,30.1,-28.0,31.1,11,9,99
