tile,n_basins,north,west,south,east,n_lon,n_lat,n_cells
t+00+00,33,36.7,-0.1,3.9000000000000004,39.2,394,329,129626
t+00-01,216,-6.6000000000000005,18.400000000000002,-34.6,37.800000000000004,195,281,54795
t-01+00,45,35.7,-14.4,6.0,0.6000000000000001,151,298,44998
