tile,n_basins,north,west,south,east,n_lon,n_lat,n_cells
t-01+00,40,15.0,-14.5,5.75,0.75,62,38,2356
t-01+01,5,36.0,-6.75,32.5,-3.5,14,15,210
t+00-02,27,-31.75,18.25,-34.75,21.0,12,13,156
t+00+00,25,11.75,-0.25,3.75,19.5,80,33,2640
t+00+01,2,37.0,1.5,35.75,8.25,28,6,168
t+01-02,121,-19.25,20.0,-34.75,32.75,52,63,3276
t+01-01,68,-6.5,23.0,-20.5,38.0,61,57,3477
t+01+00,6,9.75,19.5,4.75,39.5,81,21,1701
