run,fold,epochs,best_epoch,best_val,tail_slope,epochs_since_best,noise
v2_runB,fold0,30,25,0.6303690972514752,0.0005923650910733229,5,0.004886105290569653
v2_runB,fold1,29,23,0.6328033281103189,0.001430503795839509,6,0.005989859203662851
v2_runB,fold2,30,27,0.6239084037781741,0.0004768131965161101,3,0.005989645619258299
v2_runB,fold3,30,24,0.6300730910787851,0.00029420859313543076,6,0.008171892415702375
v2_runB,fold4,30,28,0.6352289725246747,0.001455675260735191,2,0.0058665927237167015
v2_blocked,fold0,20,14,0.612342727031228,0.003951600296819593,6,0.007016112818955422
v2_blocked,fold1,30,25,0.6398071001413557,0.00010944918399774169,5,0.006638831699522285
v2_blocked,fold2,30,30,0.6296237700697991,0.0013880113074380676,0,0.006488300586775075
v2_blocked,fold3,30,26,0.632269930290015,0.00030293311485656135,4,0.0068462202211964085
v2_blocked,fold4,20,14,0.6243406270381724,0.002573283068525134,6,0.012330019685965476
