run,fold,epochs,selected_epoch,optimal_epoch,peek_at_selected,peek_at_optimal,selection_loss
v2_runB,fold0,9,5,7,0.634056300142297,0.6393994066867621,0.005343106544465126
v2_runB,fold1,12,9,12,0.6278425975256436,0.6382590906379266,0.010416493112282987
v2_runB,fold2,11,7,7,0.6380097236319431,0.6380097236319431,0.0
v2_runB,fold3,12,11,7,0.6225158598228409,0.6374974035674866,0.014981543744645776
v2_runB,fold4,12,9,9,0.6424159067423455,0.6424159067423455,0.0
v2_blocked,fold0,12,11,11,0.6788146251986896,0.6788146251986896,0.0
v2_blocked,fold1,12,12,4,0.5711749159456685,0.5781822379274114,0.00700732198174292
v2_blocked,fold2,12,10,12,0.6494217769986025,0.6510919516547803,0.001670174656177803
v2_blocked,fold3,11,7,7,0.6414750181489994,0.6414750181489994,0.0
v2_blocked,fold4,9,5,5,0.6025528588842024,0.6025528588842024,0.0
v2_replay025,fold0,12,9,9,0.6376836530809329,0.6376836530809329,0.0
v2_replay025,fold1,12,11,9,0.6304900940622924,0.6311863953954693,0.0006963013331768853
v2_replay025,fold2,12,10,10,0.6455119417181999,0.6455119417181999,0.0
v2_replay025,fold3,12,9,9,0.6320728477616182,0.6320728477616182,0.0
v2_replay025,fold4,12,10,12,0.6293796379907222,0.6423588099992104,0.012979172008488193
