method,n_basins_scored,median_kge,median_nse,frac_kge_gt_0
MTS-LSTM ensemble,283,-0.418130805995107,-2.746568969103687,0.3745583038869258
ERA5-Land runoff,283,-0.3336100147255294,-1.4068649963931117,0.24734982332155478
continent-PUB baseline (prior work),294,0.279,0.245,0.7551020408163265
