domain,units,n,component,median_value_M0,median_value_M1,median_deficit_M0,median_deficit_M1,deficit_removed,fraction_removed,share_of_gauges_improved
"target domain (temperate, hourly truth)",gauges,8979,r,0.7970409726304105,0.8122462946134174,0.20295902736958948,0.18775370538658265,0.015205321983006836,0.07491818511387455,0.5932731930059026
"target domain (temperate, hourly truth)",gauges,8979,alpha,0.8132590912290718,0.8507997567671358,0.4637519655313213,0.34232340616038104,0.12142855937094027,0.2618394495251775,0.6471767457400601
"target domain (temperate, hourly truth)",gauges,8979,beta,1.0245709586810872,0.99602401116621,0.2804088527391015,0.21089068494014948,0.06951816779895201,0.2479171649535374,0.5836952890076846
"Africa (external, daily truth only)",basins,282,r,0.7055687809373962,0.799246227306473,0.29443121906260383,0.200753772693527,0.09367744636907682,0.3181641086407978,0.8829787234042553
"Africa (external, daily truth only)",basins,282,alpha,0.4398761510452161,0.8299533625427266,1.2089287952804342,0.393796374559656,0.8151324207207782,0.6742600754510878,0.8226950354609929
"Africa (external, daily truth only)",basins,282,beta,0.47548299300027763,0.9532461924679705,1.1688605438539605,0.27442589228065317,0.8944346515733074,0.7652193037709891,0.8120567375886525
